Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Ancient Greece: c. 800-300 BCE,6.39,"Identify and locate geographical features of ancient Greece, including: Asia Minor; Mediterranean Sea; Athens; Peloponnesian peninsula; Macedonia; Sparta",Yes,"Ancient Greece (Athens, Sparta, Peloponnese, Macedonia)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient Greece showing Athens, Sparta on the Peloponnese, Macedonia to the north, and Asia Minor across the Aegean.",NO,SSP.06; SSP.01,"Locates required features: Athens, Sparta, the Peloponnesian peninsula, Macedonia, Asia Minor, and the Mediterranean Sea.",OK
Ancient Greece: c. 800-300 BCE,6.39,"Identify and locate geographical features of ancient Greece, including: Asia Minor; Mediterranean Sea; Athens; Peloponnesian peninsula; Macedonia; Sparta",Yes,Map of Ancient Greece,map,"Library of Congress, Geography & Map Division",1910,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+greece+athens+sparta,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Map of Ancient Greece.",Historical map of the Greek world with major city-states and regions labeled.,NO,SSP.06; SSP.01,Alternate labeled map for a features-location task.,OK
Ancient Greece: c. 800-300 BCE,6.40,"Analyze how the geographical features of ancient Greece, including its mountainous terrain and access to the Mediterranean Sea, contributed to its organization into city-states, role in maritime trade, and colonies in the Mediterranean.",Yes,Greek and Phoenician Colonization of the Mediterranean,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Mediterranean marking Greek colonies spread along the coasts from Spain to the Black Sea.,NO,SSP.06; SSP.01,"Shows how mountainous terrain and sea access produced city-states, maritime trade, and colonies ringing the Mediterranean and Black Sea.",OK
Ancient Greece: c. 800-300 BCE,6.43,"Explain the characteristics of the major Greek city-states of Athens and Sparta, including: Advantages of each geographic location; Status of women; Approaches to education; Styles of government; Practice of slavery",Yes,"Athens, Sparta, and the Greek City-States",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of Greece highlighting Athens in Attica and Sparta in the southern Peloponnese.,NO,SSP.06; SSP.01,"Shows the contrasting locations of Athens (Attica, coastal/trade) and Sparta (inland Peloponnese) for the compare-and-contrast task.",OK
Ancient Greece: c. 800-300 BCE,6.44,"Analyze the causes and consequences of the Persian Wars, including the role of Athens and its cooperation with Sparta to defend the Greek city-states.",Yes,"The Persian Wars (Marathon, Thermopylae, Salamis)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Persian Wars showing invasion routes into Greece and key battle sites.,NO,SSP.06; SSP.01,Shows the Persian invasion routes and battle sites where Athens and Sparta cooperated to defend Greece.,OK
Ancient Greece: c. 800-300 BCE,6.45,"Analyze the causes and consequences of the Peloponnesian Wars, including how the growing political conflict between Athens and Sparta led to war and left the city-states open to conquest by the Macedonians.",Yes,Greece during the Peloponnesian War (Delian vs. Peloponnesian League),map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of Greece color-coded into Athenian and Spartan alliance systems during the Peloponnesian War.,NO,SSP.06; SSP.01,Shows the alliance blocs led by Athens and Sparta whose conflict left Greece open to Macedonian conquest.,OK
Ancient Greece: c. 800-300 BCE,6.49,"Describe the purposes of major Greek architecture, including the Parthenon and the Acropolis.",Yes,Plan of Ancient Athens and the Acropolis,map,Perry-Castañeda Library Map Collection (historical atlas facsimiles),1911,Perry-Castañeda Historical Map Collection,Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_ancient.html,canonical,"Perry-Castañeda Library Map Collection, University of Texas at Austin (public-domain historical map). Plan of Ancient Athens and the Acropolis.",Plan of ancient Athens showing the Acropolis hill crowned by the Parthenon.,NO,SSP.06; SSP.01,"City plan locates the Acropolis and Parthenon within Athens, grounding the architecture discussion in place.",OK
Ancient Greece: c. 800-300 BCE,6.50,"Explain the unification of the Greek city-states by Macedonia, and analyze the impact of Alexander the Great and the diffusion of Hellenistic culture.",Yes,The Empire of Alexander the Great and the Hellenistic Kingdoms,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of Alexander's empire stretching from Macedonia through Persia to the Indus, with his route marked.",NO,SSP.06; SSP.01,Shows Alexander's conquests from Greece to India and the successor kingdoms that spread Hellenistic culture.,OK
Ancient Greece: c. 800-300 BCE,6.50,"Explain the unification of the Greek city-states by Macedonia, and analyze the impact of Alexander the Great and the diffusion of Hellenistic culture.",Yes,Empire of Alexander the Great,map,David Rumsey Map Collection (historical map),1911,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=empire+alexander+the+great+hellenistic,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Empire of Alexander the Great.",Historical map of Alexander's empire and campaign route.,NO,SSP.06; SSP.01,Alternate conquest map for tracing Hellenistic diffusion.,OK — attribute (CC BY)
Ancient Rome: c. 500 BCE-500 CE,6.51,"Identify and locate the geographical features of ancient Rome, including: Constantinople; Mediterranean Sea; Italian Alps; Rome; Italian Peninsula; Tiber River",Yes,"Ancient Italy and Rome (Tiber, Italian Alps, Peninsula)",map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of ancient Italy showing Rome on the Tiber, the Alps to the north, and the peninsula in the Mediterranean.",NO,SSP.06; SSP.01,"Locates required features: Rome, the Tiber River, the Italian Alps, the Italian Peninsula, the Mediterranean Sea, and Constantinople.",OK
Ancient Rome: c. 500 BCE-500 CE,6.51,"Identify and locate the geographical features of ancient Rome, including: Constantinople; Mediterranean Sea; Italian Alps; Rome; Italian Peninsula; Tiber River",Yes,Map of Ancient Italy,map,"Library of Congress, Geography & Map Division",1910,Library of Congress Geography & Map Division,Public domain — published pre-1929,Yes,https://www.loc.gov/maps/?q=ancient+italy+rome+tiber,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain. Map of Ancient Italy.",Historical map of the Italian peninsula with Rome and the Tiber labeled.,NO,SSP.06; SSP.01,Alternate labeled map for a features-location task.,OK
Ancient Rome: c. 500 BCE-500 CE,6.52,Analyze how the geographical location of ancient Rome contributed to its political and economic growth in the Mediterranean region and beyond.,Yes,Rome and the Mediterranean World,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map centering Italy in the Mediterranean to show Rome's strategic maritime position.,NO,SSP.06; SSP.01,Shows Rome's central Mediterranean position that fueled its political and economic expansion.,OK
Ancient Rome: c. 500 BCE-500 CE,6.55,"Describe the characteristics of Julius Caesar's rule, including: Leadership in the military; Popularity amongst plebeians; Role as dictator for life; Assassination",Yes,The Roman Republic and Caesar's Conquest of Gaul,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.","Map of the late Roman Republic highlighting Gaul, conquered under Julius Caesar.",NO,SSP.06; SSP.01,"Shows the late Republic's expansion, including Caesar's Gallic conquests that built his military reputation.",OK
Ancient Rome: c. 500 BCE-500 CE,6.56,"Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.",Yes,The Roman Empire under Augustus / at Its Greatest Extent,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Roman Empire around the Mediterranean at its height under Augustus.,NO,SSP.06; SSP.01,Shows the empire Augustus established and the territorial reach maintained during the Pax Romana.,OK
Ancient Rome: c. 500 BCE-500 CE,6.56,"Analyze the influence of Augustus Caesar, including the establishment of the Roman Empire and its political, geographic, and economic expansion during the Pax Romana.",Yes,The Roman Empire at Its Greatest Extent,map,David Rumsey Map Collection (historical map),1910,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=roman+empire+greatest+extent+trajan,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. The Roman Empire at Its Greatest Extent.",Historical map of the Roman Empire ringing the entire Mediterranean.,NO,SSP.06; SSP.01,Alternate empire map for the Pax Romana discussion.,OK — attribute (CC BY)
Ancient Rome: c. 500 BCE-500 CE,6.57,"Analyze how innovations in engineering and architecture contributed to Roman expansion, including the role of: Aqueducts; Arches; Bridges; The Colosseum; Domes; Roads; Sanitation",Yes,Roman Roads of the Empire,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Roman Empire overlaid with its network of major roads radiating from Rome.,NO,SSP.06; SSP.01,"Shows the road network that knit the empire together, supporting the engineering-and-expansion theme (roads, bridges, aqueducts).",OK
Ancient Rome: c. 500 BCE-500 CE,6.57,"Analyze how innovations in engineering and architecture contributed to Roman expansion, including the role of: Aqueducts; Arches; Bridges; The Colosseum; Domes; Roads; Sanitation",Yes,Plan of the City of Rome (Aqueducts and Public Works),map,Perry-Castañeda Library Map Collection (historical atlas facsimiles),1911,Perry-Castañeda Historical Map Collection,Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_ancient.html,canonical,"Perry-Castañeda Library Map Collection, University of Texas at Austin (public-domain historical map). Plan of the City of Rome (Aqueducts and Public Works).",Plan of ancient Rome showing aqueduct lines and monuments such as the Colosseum.,NO,SSP.06; SSP.01,"City plan locates aqueducts, the Colosseum, and public works to anchor the engineering achievements.",OK
Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul; Sacred Texts: The Bible; Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah",Yes,The Spread of Christianity in the Roman Empire,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Roman Empire showing early Christian communities spreading from Judea outward.,NO,SSP.06; SSP.01,"Shows Christianity's origin in Roman Judea and its diffusion across the empire (e.g., Paul's journeys).",OK
Ancient Rome: c. 500 BCE-500 CE,6.59,"Describe the origins and central features of Christianity: Key Person(s) Jesus, Paul; Sacred Texts: The Bible; Basic Beliefs: monotheism, sin and forgiveness, eternal life, Jesus as the Messiah",Yes,Map of the Journeys of Paul / Early Christianity,map,David Rumsey Map Collection (historical map),1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=journeys+of+paul+early+christianity+roman+empire,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Map of the Journeys of Paul / Early Christianity.",Historical map tracing Paul's missionary journeys across the eastern Mediterranean.,NO,SSP.06; SSP.01,Route map reinforcing the spread of early Christianity.,OK — attribute (CC BY)
Ancient Rome: c. 500 BCE-500 CE,6.60,"Explain the expulsion of the Jews from their homeland by the Romans, which began the Jewish diaspora.",Yes,Roman Judea and the Jewish Diaspora,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map showing Roman Judea and arrows of the Jewish diaspora spreading across the empire.,NO,SSP.06; SSP.01,Shows Judea under Rome and the dispersal of Jews across the Mediterranean after expulsion.,OK
Ancient Rome: c. 500 BCE-500 CE,6.61,"Explain the division of the Roman Empire into East and West, and identify the later establishment of Constantinople as the capital by Constantine.",Yes,The Division of the Roman Empire into East and West,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of the Roman Empire divided into western and eastern halves with Constantinople marked.,NO,SSP.06; SSP.01,Shows the East-West split and Constantinople as the new eastern capital established by Constantine.,OK
Ancient Rome: c. 500 BCE-500 CE,6.62,"Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.",Yes,The Germanic Migrations and the Fall of the Western Roman Empire,map,William R. Shepherd,1911,"Perry-Castañeda Historical Map Collection (Shepherd, Historical Atlas, 1911)",Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,canonical,"Shepherd, William R. Historical Atlas. New York: Henry Holt, 1911. Public domain. Perry-Castañeda Library Map Collection, University of Texas at Austin.",Map of Europe with Germanic migration arrows breaching the western empire while the east survives as Byzantium.,NO,SSP.06; SSP.01,Shows the barbarian invasion routes into the western empire and the surviving Eastern (Byzantine) Empire.,OK
Ancient Rome: c. 500 BCE-500 CE,6.62,"Analyze the fall of the Western Roman Empire, including difficulty governing its large territory, political corruption, economic instability, and attacks by Germanic tribes, and identify the continuation of the Eastern Roman Empire as the Byzantine Empire.",Yes,Barbarian Invasions of the Roman Empire,map,David Rumsey Map Collection (historical map),1910,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=barbarian+invasions+fall+roman+empire+migrations,search,"David Rumsey Map Collection, Stanford Libraries. CC BY. Barbarian Invasions of the Roman Empire.",Historical map of Germanic and other invasions overrunning the western Roman Empire.,NO,SSP.06; SSP.01,Alternate invasion-route map for analyzing the fall of the West.,OK — attribute (CC BY)
