Unit / Cluster,Standard,Standard Text,Geo?,Map / Title,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Middle Ages in Western Europe: 400-1500s CE,7.38,"Describe the significance of the Hundred Years War, including the roles of Henry V in shaping English culture and language and Joan of Arc in promoting a peaceful end to the war.",Yes,France during the Hundred Years War (English and French holdings),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of France during the Hundred Years War showing English-held and French-held territory and key battle sites of the conflict between England and France.,NO,SSP.06; SSP.01,Anchors the England-France conflict and campaigns of Henry V and Joan of Arc.,OK
Middle Ages in Western Europe: 400-1500s CE,7.39,"Explain the significance of the Reconquista, Inquisition, and the rise of Spanish and Portuguese kingdoms in the Iberian Peninsula.",Yes,The Reconquista of the Iberian Peninsula,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of the Iberian Peninsula showing the stages of the Christian Reconquista against Muslim states and the rise of the kingdoms of Spain and Portugal.,NO,SSP.06; SSP.01,Central map for the Reconquista and the emergence of Spanish and Portuguese kingdoms.,OK
Early Modern Europe: 1400-1700s CE,7.40,"Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy's independent trade cities.",Yes,Italy about 1494 (independent trade cities),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Italian Peninsula around 1494 showing the independent city-states of Florence, Venice, Milan, Genoa, and Rome and their Mediterranean position.",NO,SSP.06; SSP.01,"Shows how the peninsula's location moved resources, knowledge, and culture.",OK
Early Modern Europe: 1400-1700s CE,7.41,"Identify the importance of Florence, Italy and the Medici Family in the early stages of the Renaissance.",Yes,Renaissance Florence — city plan and the Medici city,map,David Rumsey Map Collection,1600,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=florence+firenze+plan,search,"David Rumsey Map Collection, davidrumsey.com. Public domain.","Early city view and plan of Florence showing the Arno River, the cathedral, and the urban center of Medici patronage during the Renaissance.",NO,SSP.06; SSP.01,Locates Florence and the Medici center of the early Renaissance.,OK
Early Modern Europe: 1400-1700s CE,7.43,"Explain the development of Renaissance art, including the significance of: • Leonardo da Vinci • Michelangelo • William Shakespeare • Systems of patronage",Yes,Renaissance Italy — centers of art and patronage,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of Renaissance Italy identifying Florence, Rome, Venice, and Milan as centers of artistic production and systems of patronage.",NO,SSP.06; SSP.01,Contextual map linking Renaissance art centers to patronage networks.,OK
Early Modern Europe: 1400-1700s CE,7.44,"Analyze Johannes Gutenberg's printing press and William Tyndale's translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge.",Yes,The spread of printing in Europe after Gutenberg,map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=printing+press+europe+diffusion,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of Europe showing the diffusion of printing presses from Mainz across the continent in the decades after Gutenberg, illustrating the spread of books and literacy.",NO,SSP.06; SSP.01,Shows dissemination of the printing press and the growth of literacy.,OK — attribute (CC BY)
Early Modern Europe: 1400-1700s CE,7.47,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.,Yes,England under the Tudors (16th century),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of 16th-century England under the Tudors, the setting for Henry VIII and Mary I's shifts between Catholicism and Protestantism.",NO,SSP.06; SSP.01,Contextual locator for Tudor England's religious transition.,OK
Early Modern Europe: 1400-1700s CE,7.50,"Compare and contrast heliocentric and geocentric theories of the Greeks (geocentric), Copernicus (heliocentric), and Kepler (elliptical orbits).",Yes,Geocentric and heliocentric systems — Cellarius planispheres,map,Andreas Cellarius (David Rumsey Map Collection),1661,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=cellarius+ptolemaic+copernican,search,"Andreas Cellarius, Harmonia Macrocosmica, 1660-61; David Rumsey Map Collection, davidrumsey.com. Public domain.",Celestial plates from Cellarius's Harmonia Macrocosmica contrasting the Ptolemaic geocentric planisphere with the Copernican heliocentric planisphere.,NO,SSP.06; SSP.01,Primary-source cosmographic plates directly contrasting geocentric and heliocentric models.,OK
Early Modern Europe: 1400-1700s CE,7.51,"Examine Galileo Galilei's theories and improvement of scientific tools, including the telescope and microscope.",Yes,Early telescopic map of the Moon (post-Galileo lunar cartography),map,David Rumsey Map Collection,1700,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=moon+lunar+map+selenographia,search,"David Rumsey Map Collection, davidrumsey.com. Public domain.",Early telescopic map of the Moon showing craters and maria observed after Galileo's improvements to the telescope.,NO,SSP.06; SSP.01,Illustrates the observational science made possible by Galileo's telescope.,OK
Early Modern Europe: 1400-1700s CE,7.52,Explain the significance of the following in regards to the Scientific Revolution: Sir Francis Bacon in establishing the scientific method and Sir Isaac Newton's three Laws of Motion.,Yes,Celestial chart of the Newtonian solar system,map,David Rumsey Map Collection,1720,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=solar+system+copernican+celestial+chart,search,"David Rumsey Map Collection, davidrumsey.com. Public domain.","18th-century celestial chart depicting the sun-centered solar system with planetary orbits, reflecting the Scientific Revolution and Newtonian mechanics.",NO,SSP.06; SSP.01,Contextual cosmographic plate for the Scientific Revolution (Bacon and Newton).,OK
Indigenous Civilizations of the Americas: 400-1500s CE,7.53,"Identify and locate the geographical features of the Americas, including: • Andes Mountains • Appalachian Mountains • Atlantic Ocean • Caribbean Sea • Central Mexican Plateau • Great Plains • Gulf of Mexico • Mississippi River • North America • Pacific Ocean • Rocky Mountains • South America • Yucatan Peninsula",Yes,Physical map of North and South America,map,David Rumsey Map Collection,1892,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=americas+physical+relief,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Physical map of the Americas showing the Andes, Appalachian, and Rocky Mountains, the Great Plains, Central Mexican Plateau, Mississippi River, Yucatan Peninsula, Caribbean Sea, and Gulf of Mexico.",NO,SSP.06; SSP.01,Primary locator map for the Americas feature list.,OK — attribute (CC BY)
Indigenous Civilizations of the Americas: 400-1500s CE,7.53,"Identify and locate the geographical features of the Americas, including: • Andes Mountains • Appalachian Mountains • Atlantic Ocean • Caribbean Sea • Central Mexican Plateau • Great Plains • Gulf of Mexico • Mississippi River • North America • Pacific Ocean • Rocky Mountains • South America • Yucatan Peninsula",Yes,Relief map of the Americas,map,"Library of Congress, Geography and Map Division",1900,Library of Congress Geography & Map Division,Public domain — Library of Congress,Yes,https://www.loc.gov/maps/?q=north+america+south+america+physical,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain.","Full-resolution relief map of North and South America for annotating major landforms, rivers, and seas.",NO,SSP.06; SSP.01,High-resolution alternative from Library of Congress.,OK
Indigenous Civilizations of the Americas: 400-1500s CE,7.54,"Explain the impact of geographic features on North American Indian cultures (i.e., Northeast, Southeast, and Plains), including: clothing, housing, and agriculture.",Yes,"North American Indian culture areas (Northeast, Southeast, Plains)",map,"Library of Congress, Geography and Map Division",1900,Library of Congress Geography & Map Division,Public domain — Library of Congress,Yes,https://www.loc.gov/maps/?q=indian+tribes+north+america,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain.","Map of North America showing Native American culture areas, including the Northeast, Southeast, and Plains regions and their environmental settings.",NO,SSP.06; SSP.01,"Links geographic regions to housing, clothing, and agriculture of Native cultures.",OK
Indigenous Civilizations of the Americas: 400-1500s CE,7.55,"Describe the existence of diverse networks of North American Indian cultures (within present-day United States) including: varied languages, customs, and economic and political structures.",Yes,Distribution of North American Indian tribes and language families,map,"Library of Congress, Geography and Map Division",1890,Library of Congress Geography & Map Division,Public domain — Library of Congress,Yes,https://www.loc.gov/maps/?q=indian+linguistic+tribes+distribution,search,"Library of Congress, Geography and Map Division, Washington, D.C. Public domain.",Map showing the distribution of North American Indian tribes and linguistic families across the present-day United States.,NO,SSP.06; SSP.01,"Shows the diversity of languages, customs, and political structures across Native networks.",OK
Indigenous Civilizations of the Americas: 400-1500s CE,7.56,"Explain the impact of geographic features and climate on the agricultural practices and settlement of the Maya, Aztec, and Incan civilizations.",Yes,"Mesoamerica and the Andes — Maya, Aztec, and Inca lands",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Maya, Aztec, and Inca regions showing the tropical lowlands, Central Mexican Plateau, and Andean highlands that shaped their agriculture and settlement.",NO,SSP.06; SSP.01,Connects geography and climate to agricultural practice and settlement patterns.,OK
Indigenous Civilizations of the Americas: 400-1500s CE,7.57,"Describe the social, economic, and political characteristics of the Maya, Aztec, and Incan civilizations, including: oral traditions, class structures, religious beliefs, slavery, and advancements (e.g., astronomy, mathematics, and calendar).",Yes,The Aztec and Inca Empires at their height,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Aztec Empire in central Mexico and the Inca Empire along the Andes, showing capitals, road networks, and imperial extent.",NO,SSP.06; SSP.01,"Supports comparison of the social, economic, and political structures of the civilizations.",OK
The Age of Exploration: 1400-1700s CE,7.58,"Analyze why European countries were motivated to explore the world, including: religion, political rivalry, and economic gain (i.e., mercantilism).",Yes,The Age of Discovery — overview of European exploration,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","World map of the Age of Discovery showing the major European exploration routes reaching Africa, Asia, and the Americas.",NO,SSP.06; SSP.01,"Overview map framing the religious, political, and economic motives for exploration.",OK
The Age of Exploration: 1400-1700s CE,7.59,"Identify the significance of the voyages and routes of discovery of the following explorers by their sponsoring country: • England: Henry Hudson • France: Jacques Cartier • Portugal: Vasco da Gama, Bartolomeu Dias • Spain: Christopher Columbus, Hernando de Soto, Ferdinand Magellan, Amerigo Vespucci",Yes,Voyages and routes of discovery of the major explorers,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","World map tracing the voyages of Columbus, da Gama, Dias, Magellan, Vespucci, Cartier, Hudson, and de Soto, color-coded by sponsoring country.",NO,SSP.06; SSP.01,Central map for identifying explorers' routes by sponsoring nation.,OK
The Age of Exploration: 1400-1700s CE,7.59,"Identify the significance of the voyages and routes of discovery of the following explorers by their sponsoring country: • England: Henry Hudson • France: Jacques Cartier • Portugal: Vasco da Gama, Bartolomeu Dias • Spain: Christopher Columbus, Hernando de Soto, Ferdinand Magellan, Amerigo Vespucci",Yes,"Chart of the principal voyages of discovery, 15th-16th centuries",map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=voyages+discovery+explorers,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Full-resolution chart showing the tracks of the major explorers' voyages across the Atlantic, around Africa, and around the world.",NO,SSP.06; SSP.01,High-resolution alternative for tracing individual voyage tracks.,OK — attribute (CC BY)
The Age of Exploration: 1400-1700s CE,7.60,"Describe Prince Henry the Navigator's influence on exploration, voyages, cartographic improvements, and tools related to exploration (i.e., compass, caravel, astrolabe, and Harrison's chronometer) during the Age of Discovery.",Yes,Early Portuguese exploration and a Renaissance-era world chart,map,David Rumsey Map Collection,1502,David Rumsey Map Collection,Public domain — created before 1929,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=portolan+world+chart+portuguese,search,"David Rumsey Map Collection, davidrumsey.com. Public domain.","Early portolan-style world chart with rhumb lines and compass roses, illustrating the cartographic and navigational advances of Prince Henry the Navigator's era.",NO,SSP.06; SSP.01,Primary-source chart showing period navigation tools and cartographic improvement.,OK
The Age of Exploration: 1400-1700s CE,7.61,"Locate and identify French, Spanish, English, Portuguese, and Dutch colonies in the Americas, and explain how religion impacted the location of settlement by each country.",Yes,European colonies and the Line of Demarcation in the Americas,map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the Americas showing French, Spanish, English, Portuguese, and Dutch colonial claims and the Treaty of Tordesillas line of demarcation.",NO,SSP.06; SSP.01,Locates the competing European colonies and the influence of religion on settlement.,OK
The Age of Exploration: 1400-1700s CE,7.62,"Describe how the Aztec and Inca empires were eventually defeated by Spanish Conquistadors (i.e., Hernan Cortes and Francisco Pizarro).",Yes,Spanish conquest of the Aztec and Inca empires (Cortes and Pizarro),map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of the routes of the Spanish conquistadors Hernan Cortes in Mexico and Francisco Pizarro in Peru, showing the fall of the Aztec and Inca empires.",NO,SSP.06; SSP.01,Traces conquistador routes into the Aztec and Inca heartlands.,OK
The Age of Exploration: 1400-1700s CE,7.63,Locate and identify the European regions that remained Catholic and those that became Protestant and how that division affected the distribution of religions in the New World.,Yes,"Religious divisions of Europe after the Reformation, c. 1560",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of Europe around 1560 showing regions that remained Catholic and those that became Protestant (Lutheran, Calvinist, Anglican) after the Reformation.",NO,SSP.06; SSP.01,Shows the Catholic/Protestant divide that shaped religion in the New World.,OK
The Age of Exploration: 1400-1700s CE,7.64,"Explain the impact of the Columbian Exchange on people, plants, animals, technology, culture, ideas, and diseases among Europe, Africa, Asia, and the Americas in the 15th and 16th centuries, and examine the major economic and social effects on each continent.",Yes,The Columbian Exchange across the Atlantic world,map,David Rumsey Map Collection,1900,David Rumsey Map Collection,CC BY — David Rumsey,Yes,https://www.davidrumsey.com/luna/servlet/allSearch?q=atlantic+world+trade+exchange,search,"David Rumsey Map Collection, davidrumsey.com. Licensed CC BY 4.0.","Map of the Atlantic world showing the exchange of plants, animals, people, and diseases between Europe, Africa, Asia, and the Americas after 1492.",NO,SSP.06; SSP.01,Base map for building a Columbian Exchange flow overlay across four continents.,OK — attribute (CC BY)
The Age of Exploration: 1400-1700s CE,7.64,"Explain the impact of the Columbian Exchange on people, plants, animals, technology, culture, ideas, and diseases among Europe, Africa, Asia, and the Americas in the 15th and 16th centuries, and examine the major economic and social effects on each continent.",Yes,"Atlantic trade routes connecting Europe, Africa, and the Americas",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.","Map of early modern Atlantic trade routes linking European ports, West Africa, and the American colonies.",NO,SSP.06; SSP.01,Public-domain complement showing the Atlantic routes underlying the Exchange.,OK
The Age of Exploration: 1400-1700s CE,7.65,"Explain how Spanish colonization introduced Christianity, the mission system, and the encomienda system to the Americas as well as Bartolome de la Casa's role in the transition to African slavery.",Yes,"Spanish America — New Spain, Peru, and the mission frontier",map,William R. Shepherd,1911,Perry-Castaneda Library Map Collection (University of Texas),Public domain — published pre-1929,Yes,https://legacy.lib.utexas.edu/maps/historical/history_shepherd_1911.html,search,"William R. Shepherd, Historical Atlas (New York: Henry Holt, 1911). Perry-Castaneda Library Map Collection, University of Texas. Public domain.",Map of Spanish colonial America showing the Viceroyalties of New Spain and Peru and the spread of the mission and encomienda systems.,NO,SSP.06; SSP.01,"Locates the Spanish colonial system, missions, and the shift toward African slavery.",OK
