course,unit,standard,asset_type,source_page_url,direct_download_url,target_filename,drive_subfolder,title,creator_or_institution,date,license,attribution,repository,link_type,status
World History,World War I through the Depression (1910s-1930s),W.30,Print/photograph,https://www.loc.gov/search/?q=Franz+Ferdinand+assassination+Sarajevo+1914,,W.30_assassination_of_archduke_franz_ferdinand_sarajevo_1914.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.30,"Assassination of Archduke Franz Ferdinand, Sarajevo, 1914",contemporary press,1914,Public domain (published pre-1929),"Assassination of Archduke Franz Ferdinand, 1914. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.30,Political cartoon,https://www.loc.gov/search/?q=World+War+I+alliances+militarism+cartoon+1914,,W.30_world_war_i_mobilization_alliance_cartoon.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.30,World War I mobilization / alliance cartoon,1914-era cartoonists,1914,Public domain (published pre-1929),"World War I alliance/militarism cartoon, 1914. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.31,Photograph,https://catalog.archives.gov/search?q=World+War+I+trench+warfare,,W.31_world_war_i_trench_warfare_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.31,World War I trench warfare photographs,U.S. Army Signal Corps / official photographers,1914-1918,Public domain (U.S. federal government work),World War I trench photographs. U.S. National Archives.,U.S. National Archives (NARA),search,PENDING
World History,World War I through the Depression (1910s-1930s),W.31,Photograph,https://www.loc.gov/search/?q=World+War+I+tank+poison+gas+machine+gun,,W.31_new_weapons_of_wwi_tanks_gas_masks_machine_guns.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.31,"New weapons of WWI: tanks, gas masks, machine guns",official war photographers,1916-1918,Public domain (published pre-1929),New weaponry of World War I. Library of Congress.,Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.32,Map,https://www.loc.gov/search/?q=Western+Front+map+World+War+I+Verdun+Somme,,W.32_map_of_the_western_front_marne_verdun_somme.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.32,"Map of the Western Front (Marne, Verdun, Somme)",military cartographers,1914-1918,Public domain (published pre-1929),"Map of the Western Front. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.32,Photograph,https://catalog.archives.gov/search?q=Battle+of+the+Somme+Verdun+1916,,W.32_battle_of_the_somme_verdun_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.32,Battle of the Somme / Verdun photographs,official war photographers,1916,Public domain (U.S. federal government work),"Battle of the Somme photographs, 1916. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,World War I through the Depression (1910s-1930s),W.33,Poster,https://www.loc.gov/search/?q=World+War+I+recruitment+poster+Uncle+Sam,,W.33_world_war_i_recruitment_poster_i_want_you.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.33,"World War I recruitment poster (""I Want YOU"")",James Montgomery Flagg / Committee on Public Information,1917,Public domain (published pre-1929),"World War I U.S. recruitment poster, 1917. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.33,Treaty (text),https://avalon.law.yale.edu/subject_menus/blmenu.asp,,W.33_treaty_of_brest_litovsk_1918.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.33,Treaty of Brest-Litovsk (1918),Soviet Russia and the Central Powers,1918,Public domain — treaty text (1918),"Treaty of Brest-Litovsk, 1918. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",search,PENDING
World History,World War I through the Depression (1910s-1930s),W.34,Photograph,https://catalog.archives.gov/search?q=World+War+I+women+munitions+workers,,W.34_women_munitions_workers_world_war_i.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.34,"Women munitions workers, World War I",official war photographers,1915-1918,Public domain (U.S. federal government work),"Women munitions workers, World War I. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,World War I through the Depression (1910s-1930s),W.34,Poster,https://www.loc.gov/search/?q=World+War+I+food+conservation+poster,,W.34_world_war_i_food_conservation_rationing_poster.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.34,World War I food conservation / rationing poster,U.S. Food Administration,1917-1918,Public domain (published pre-1929),World War I food conservation poster. Library of Congress.,Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.35,Photograph,https://www.loc.gov/search/?q=Armenian+refugees+Near+East+Relief+1915,,W.35_armenian_genocide_near_east_relief_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.35,Armenian Genocide / Near East Relief photographs,American Committee for Relief in the Near East,1915-1919,Public domain (published pre-1929),"Armenian Genocide and Near East Relief photographs, 1915-1919. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.35,Photograph,https://catalog.archives.gov/search?q=1918+influenza+pandemic,,W.35_1918_influenza_pandemic_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.35,1918 influenza pandemic photographs,U.S. government / Red Cross,1918-1919,Public domain (U.S. federal government work),1918 influenza pandemic photographs. U.S. National Archives.,U.S. National Archives (NARA),search,PENDING
World History,World War I through the Depression (1910s-1930s),W.36,Treaty (text),https://avalon.law.yale.edu/subject_menus/versailles_menu.asp,,W.36_treaty_of_versailles_1919.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.36,Treaty of Versailles (1919),Allied and Associated Powers; Germany,1919,Public domain — treaty text (1919),"Treaty of Versailles, 1919. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,World War I through the Depression (1910s-1930s),W.36,Photograph,https://www.loc.gov/search/?q=Big+Four+Paris+Peace+Conference+1919,,W.36_the_big_four_at_the_paris_peace_conference.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.36,"The ""Big Four"" at the Paris Peace Conference",official photographers,1919,Public domain (published pre-1929),"The Big Four at the Paris Peace Conference, 1919. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.36,Speech (text),https://avalon.law.yale.edu/20th_century/wilson14.asp,,W.36_president_wilson_s_fourteen_points_1918.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.36,President Wilson's Fourteen Points (1918),Woodrow Wilson,1918,Public domain — U.S. government work (1918),"Woodrow Wilson, Fourteen Points, 1918. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,World War I through the Depression (1910s-1930s),W.37,Map,https://www.loc.gov/search/?q=map+Europe+after+World+War+I+1919,,W.37_map_of_europe_after_world_war_i.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.37,Map of Europe after World War I,post-1919 cartographers,c. 1919-1923,Public domain (published pre-1929),"Map of Europe after World War I. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.37,Treaty (text),https://avalon.law.yale.edu/20th_century/leagcov.asp,,W.37_covenant_of_the_league_of_nations_1919.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.37,Covenant of the League of Nations (1919),Paris Peace Conference,1919,"Public domain — treaty text (League Covenant, 1919)","Covenant of the League of Nations, 1919. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,World War I through the Depression (1910s-1930s),W.38,Photograph,https://www.loc.gov/search/?q=Russian+Revolution+1917+Petrograd,,W.38_russian_revolution_of_1917_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.38,Russian Revolution of 1917 photographs,contemporary photographers,1917,Public domain (published pre-1929),"Photographs of the Russian Revolution, 1917. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.38,Poster,https://www.loc.gov/search/?q=Bolshevik+Russian+Civil+War+poster+1919,,W.38_bolshevik_russian_civil_war_propaganda_poster.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.38,Bolshevik / Russian Civil War propaganda poster,Soviet artists,1918-1921,Public domain — published 1918-1921 (pre-1929),"Russian Civil War propaganda poster, c.1919. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.39,Photograph,https://www.loc.gov/search/?q=Harlem+Renaissance+jazz+1920s,,W.39_jazz_age_harlem_renaissance_photographs.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.39,Jazz Age / Harlem Renaissance photographs,1920s photographers,1920s,Public domain (published pre-1929),"Harlem Renaissance and Jazz Age photographs, 1920s. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.39,Photograph,https://www.loc.gov/search/?q=National+Photo+Company+1920s+automobile+radio,,W.39_1920s_american_consumer_culture_photographs_national_photo_company_collection.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.39,1920s American consumer-culture photographs (National Photo Company Collection),National Photo Company,c. 1920-1928,Public domain — published pre-1929,"1920s consumer-culture photographs, National Photo Company Collection, c.1920-1928. Library of Congress.",Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.40,Photograph,https://www.loc.gov/search/?q=Wall+Street+crash+1929+crowd+stock+exchange,,W.40_crowds_outside_the_new_york_stock_exchange_1929.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.40,"Crowds outside the New York Stock Exchange, 1929",press photographers,1929,Public domain (published pre-1929),Crowds on Wall Street during the 1929 crash. Library of Congress.,Library of Congress,search,PENDING
World History,World War I through the Depression (1910s-1930s),W.40,Photograph,https://www.loc.gov/search/?q=Great+Depression+breadline+unemployed,,W.40_great_depression_breadlines_unemployment.{original_extension},World History/World War I through the Depression (1910s-1930s)/W.40,Great Depression breadlines / unemployment,Farm Security Administration photographers,1930s,Public domain (U.S. federal government work),"Great Depression breadline photographs, 1930s (FSA). Library of Congress.",Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.41,Photograph,https://www.loc.gov/search/?q=German+hyperinflation+1923+money,,W.41_german_hyperinflation_1923.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.41,"German hyperinflation, 1923",contemporary photographers,1923,Public domain (published pre-1929),"German hyperinflation, 1923. Library of Congress.",Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.41,government document collection,https://history.state.gov/historicaldocuments/search?q=Germany+1933+Hitler+Nazi,,W.41_foreign_relations_of_the_united_states_1933_documents_on_germany_and_the_nazi_se.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.41,"Foreign Relations of the United States, 1933 — documents on Germany and the Nazi seizure of power","U.S. Department of State, Office of the Historian",1933,Public domain — U.S. government work,"Foreign Relations of the United States, 1933, documents on Germany and the Nazi consolidation of power (Washington, D.C.: U.S. Government Printing Office).","Office of the Historian, U.S. Department of State (history.state.gov)",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.42,Poster,https://catalog.archives.gov/search?q=Office+of+War+Information+poster+Hitler+Mussolini+Tojo,,W.42_u_s_office_of_war_information_anti_axis_propaganda_poster_hitler_mussolini_tojo.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.42,"U.S. Office of War Information anti-Axis propaganda poster (Hitler, Mussolini, Tojo)",U.S. Office of War Information,1942-1945,Public domain — U.S. government work,"U.S. Office of War Information anti-Axis propaganda poster, 1942-1945. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.42,government document collection,https://history.state.gov/historicaldocuments/search?q=Germany+Italy+Soviet+Union+1930s,,W.42_foreign_relations_of_the_united_states_diplomatic_records_on_nazi_germany_fascis.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.42,"Foreign Relations of the United States — diplomatic records on Nazi Germany, Fascist Italy, and the Soviet Union (1930s)","U.S. Department of State, Office of the Historian",1930s,Public domain — U.S. government work,"Foreign Relations of the United States, 1930s volumes on Germany, Italy, and the Soviet Union. Office of the Historian, U.S. Dept. of State.","Office of the Historian, U.S. Department of State (history.state.gov)",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.43,Map,https://catalog.archives.gov/search?q=Axis+expansion+map+Europe+World+War+II,,W.43_map_of_axis_expansion_living_space_in_europe.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.43,"Map of Axis expansion / ""living space"" in Europe",1930s-40s cartographers,1930s-1940s,Public domain (U.S. federal government work),Map of Axis expansion in Europe. U.S. National Archives.,U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.43,Map,https://catalog.archives.gov/search?q=map+Japanese+expansion+Pacific+resources+1942,,W.43_u_s_government_map_of_japanese_expansion_and_resource_areas_in_the_pacific_1941_.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.43,"U.S. government map of Japanese expansion and resource areas in the Pacific, 1941-1942",U.S. Army Map Service / Office of Strategic Services,1941-1942,Public domain — U.S. government work,"U.S. government map of Japanese territorial expansion and resource zones in the Pacific, 1941-1942. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.44,Photograph,https://www.loc.gov/search/?q=Italy+invasion+Ethiopia+1935+Abyssinia,,W.44_italian_invasion_of_ethiopia_1935_36.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.44,"Italian invasion of Ethiopia, 1935-36",press photographers,1935-1936,Public domain (published pre-1929),"Italian invasion of Ethiopia, 1935. Library of Congress.",Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.44,government document collection,https://history.state.gov/historicaldocuments/search?q=Japan+1931-1941+China+aggression,,W.44_foreign_relations_of_the_united_states_japan_1931_1941_japanese_aggression_in_ch.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.44,"Foreign Relations of the United States, Japan: 1931-1941 (Japanese aggression in China)",U.S. Department of State,1943,Public domain — U.S. government work,"Foreign Relations of the United States, Japan, 1931-1941 (Washington, D.C.: U.S. Government Printing Office, 1943), documents on Japanese aggression in China.","Office of the Historian, U.S. Department of State (history.state.gov)",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.45,Agreement (text),https://avalon.law.yale.edu/imt/munich1.asp,,W.45_munich_agreement_1938.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.45,Munich Agreement (1938),"Germany, Britain, France, Italy",1938,Public domain — official agreement text (1938),"Munich Agreement, 1938. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.45,public law / statute,https://www.govinfo.gov/app/search/%7B%22query%22%3A%22Neutrality%20Act%201935%201937%201939%22%7D,,W.45_the_u_s_neutrality_acts_of_1935_1939_statute_text.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.45,The U.S. Neutrality Acts of 1935-1939 (statute text),U.S. Congress,1935-1939,Public domain — U.S. government work (federal statute text),"Neutrality Acts of 1935, 1937, and 1939, U.S. Statutes at Large. U.S. Government Publishing Office.",U.S. Government Publishing Office (govinfo.gov),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.46,Photograph,https://catalog.archives.gov/search?q=World+War+II+strategic+bombing+aircraft,,W.46_world_war_ii_aircraft_and_strategic_bombing.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.46,World War II aircraft and strategic bombing,U.S. Army Air Forces,1939-1945,Public domain (U.S. federal government work),World War II strategic bombing photographs. U.S. National Archives.,U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.46,Map,https://catalog.archives.gov/search?q=Pacific+island+hopping+campaign+map+World+War+II,,W.46_pacific_island_hopping_campaign_map.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.46,Pacific island-hopping campaign map,U.S. military cartographers,1942-1945,Public domain (U.S. federal government work),Pacific theater island-hopping map. U.S. National Archives.,U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.47,Photograph,https://catalog.archives.gov/search?q=D-Day+Normandy+landing+1944,,W.47_d_day_landings_at_normandy_6_june_1944.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.47,"D-Day landings at Normandy, 6 June 1944",U.S. Coast Guard / Army Signal Corps,1944,Public domain (U.S. federal government work),"D-Day landings at Normandy, 1944. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.47,Map,https://history.army.mil/html/reference/army_flag/wwii.html,,W.47_battle_maps_of_the_european_and_pacific_theaters.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.47,Battle maps of the European and Pacific theaters,U.S. Army Center of Military History,1941-1945,Public domain (U.S. federal government work),World War II campaign maps. U.S. Army Center of Military History.,U.S. Army Center of Military History,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.48,Photograph,https://catalog.archives.gov/search?q=Yalta+Conference+Big+Three+1945+Churchill+Roosevelt+Stalin,,W.48_the_big_three_at_the_yalta_conference_1945.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.48,"The ""Big Three"" at the Yalta Conference, 1945",U.S. Army Signal Corps,1945,Public domain (U.S. federal government work),"The Big Three at Yalta, 1945. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.48,Photograph,https://catalog.archives.gov/search?q=Signal+Corps+Roosevelt+Churchill+Truman+Stalin+conference,,W.48_u_s_army_signal_corps_photographs_of_allied_wartime_leaders.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.48,U.S. Army Signal Corps photographs of Allied wartime leaders,U.S. Army Signal Corps,1941-1945,Public domain — U.S. government work,"U.S. Army Signal Corps photographs of Allied leaders at wartime conferences, 1941-1945. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.49,government document collection,https://history.state.gov/historicaldocuments/search?q=Evian+Conference+1938+refugees,,W.49_foreign_relations_of_the_united_states_1938_the_evian_conference_and_jewish_refu.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.49,"Foreign Relations of the United States, 1938 — the Evian Conference and Jewish refugees",U.S. Department of State,1938,Public domain — U.S. government work,"Foreign Relations of the United States, 1938, documents on the Evian Conference and the Jewish refugee crisis. Office of the Historian, U.S. Dept. of State.","Office of the Historian, U.S. Department of State (history.state.gov)",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.49,Law/chart (document),https://catalog.archives.gov/search?q=Nuremberg+Laws+1935+racial+chart,,W.49_the_nuremberg_laws_1935.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.49,The Nuremberg Laws (1935),Nazi Germany,1935,"Public domain — official statute text (Nuremberg Laws, 1935)","The Nuremberg Laws, 1935. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.50,Photograph,https://catalog.archives.gov/search?q=liberation+concentration+camps+1945,,W.50_liberation_of_nazi_concentration_camps_1945.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.50,"Liberation of Nazi concentration camps, 1945",U.S. Army Signal Corps,1945,Public domain (U.S. federal government work),"Liberation of Nazi concentration camps, 1945. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.50,government document collection,https://www.loc.gov/search/?q=Nazi+Conspiracy+and+Aggression+1946,,W.50_nazi_conspiracy_and_aggression_u_s_gpo_1946_documentary_evidence_of_the_holocaus.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.50,"Nazi Conspiracy and Aggression (U.S. GPO, 1946) — documentary evidence of the Holocaust",U.S. Office of Chief of Counsel for the Prosecution of Axis Criminality,1946,Public domain — U.S. government work,"Office of U.S. Chief of Counsel, Nazi Conspiracy and Aggression (Washington, D.C.: U.S. Government Printing Office, 1946).",U.S. Government Publishing Office / Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.51,Joint declaration (text),https://avalon.law.yale.edu/wwii/atlantic.asp,,W.51_the_atlantic_charter_1941.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.51,The Atlantic Charter (1941),Franklin D. Roosevelt & Winston Churchill,1941,Public domain — official document text (1941),"The Atlantic Charter, 1941. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.51,Agreement (text),https://avalon.law.yale.edu/wwii/yalta.asp,,W.51_protocol_of_the_yalta_crimea_conference_1945.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.51,Protocol of the Yalta (Crimea) Conference (1945),"U.S., U.K., U.S.S.R.",1945,"Public domain — official agreement text (Yalta Protocol, 1945)","Yalta Conference Agreement, 1945. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.51,Agreement (text),https://history.state.gov/search?q=Tehran+Potsdam+conference,,W.51_tehran_and_potsdam_conference_records.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.51,Tehran and Potsdam conference records,Allied leaders,1943-1945,Public domain (U.S. federal government work),"Tehran and Potsdam conferences. U.S. Dept. of State, Office of the Historian.","U.S. Dept. of State, Office of the Historian",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.52,Photograph,https://catalog.archives.gov/search?q=Hiroshima+Nagasaki+atomic+bomb+1945,,W.52_atomic_bombing_of_hiroshima_and_nagasaki_1945.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.52,"Atomic bombing of Hiroshima and Nagasaki, 1945",U.S. military,1945,Public domain (U.S. federal government work),"Atomic bombings of Hiroshima and Nagasaki, 1945. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.52,Photograph,https://www.energy.gov/search?query=Manhattan+Project+Trinity+test,,W.52_trinity_test_and_the_manhattan_project.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.52,Trinity test and the Manhattan Project,U.S. government / Manhattan Engineer District,1942-1945,Public domain (U.S. federal government work),The Manhattan Project and Trinity test. U.S. Department of Energy.,U.S. Department of Energy,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.53,Photograph,https://catalog.archives.gov/search?q=Nuremberg+Trials+1945+1946+defendants,,W.53_the_nuremberg_trials_1945_46.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.53,"The Nuremberg Trials, 1945-46",U.S. Army / official photographers,1945-1946,Public domain (U.S. federal government work),"The Nuremberg Trials, 1945-46. U.S. National Archives.",U.S. National Archives (NARA),search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.53,Photograph / document,https://history.state.gov/search?q=United+Nations+founding+1945+San+Francisco,,W.53_founding_of_the_united_nations_un_charter_1945.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.53,Founding of the United Nations / UN Charter (1945),United Nations Conference,1945,Public domain (U.S. federal government work),"Founding of the United Nations, 1945. Office of the Historian, U.S. Dept. of State.","U.S. Dept. of State, Office of the Historian",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.54,Speech (text),https://avalon.law.yale.edu/20th_century/marshall.asp,,W.54_the_marshall_plan_harvard_commencement_address_1947.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.54,"The Marshall Plan (Harvard commencement address, 1947)",George C. Marshall,1947,Public domain — U.S. government work (1947),"George C. Marshall, Marshall Plan speech, 1947. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.54,Poster,https://www.loc.gov/search/?q=Marshall+Plan+European+Recovery+Program+poster,,W.54_marshall_plan_european_recovery_program_poster.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.54,Marshall Plan / European Recovery Program poster,Economic Cooperation Administration,1948-1951,Public domain (U.S. federal government work),"Marshall Plan (ERP) poster, c.1948. Library of Congress.",Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.55,Resolution/map (document),https://history.state.gov/search?q=Israel+creation+1948+partition+Palestine,,W.55_un_partition_plan_for_palestine_resolution_181_1947.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.55,"UN Partition Plan for Palestine (Resolution 181), 1947",United Nations General Assembly,1947,Public domain (U.S. federal government work),"Creation of Israel and the 1947 UN Partition Plan. Office of the Historian, U.S. Dept. of State.","U.S. Dept. of State, Office of the Historian",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.55,Map,https://www.loc.gov/search/?q=Palestine+partition+map+1947+Israel,,W.55_map_of_the_1947_un_partition_of_palestine.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.55,Map of the 1947 UN partition of Palestine,1947 cartographers,1947-1948,"Public domain — UN partition map (official document, 1947)","Map of the UN partition of Palestine, 1947. Library of Congress.",Library of Congress,search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.56,government document (diplomatic cable),https://history.state.gov/historicaldocuments/search?q=Kennan+long+telegram+1946,,W.56_george_f_kennan_long_telegram_1946.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.56,"George F. Kennan, ""Long Telegram"" (1946)","George F. Kennan, U.S. Department of State",1946,Public domain — U.S. government work,"George F. Kennan, telegram from Moscow (""Long Telegram""), February 22, 1946. U.S. National Archives / Office of the Historian, U.S. Dept. of State.","U.S. National Archives / Office of the Historian, U.S. Department of State",search,PENDING
World History,Rise of Totalitarianism and World War II (1930s-1945),W.56,Map,https://www.loc.gov/search/?q=CIA+map+Europe+Soviet+bloc+iron+curtain,,W.56_u_s_government_cia_map_of_cold_war_europe_and_the_soviet_bloc.{original_extension},World History/Rise of Totalitarianism and World War II (1930s-1945)/W.56,U.S. government (CIA) map of Cold War Europe and the Soviet bloc,U.S. Central Intelligence Agency,c. 1950,Public domain — U.S. government work,"U.S. Central Intelligence Agency map of divided Cold War Europe. Library of Congress, Geography & Map Division.",Library of Congress,search,PENDING
World History,Cold War (1945-1991),W.57,Map,https://www.loc.gov/search/?q=CIA+map+communist+China+1949+1950,,W.57_u_s_government_cia_map_of_the_communist_advance_in_china_1949_1950.{original_extension},World History/Cold War (1945-1991)/W.57,"U.S. government (CIA) map of the Communist advance in China, 1949-1950",U.S. Central Intelligence Agency,1949-1950,Public domain — U.S. government work,"U.S. Central Intelligence Agency map of the Chinese Communist takeover, 1949-1950. Library of Congress.",Library of Congress / U.S. National Archives,search,PENDING
World History,Cold War (1945-1991),W.57,government report,https://history.state.gov/historicaldocuments/search?q=China+White+Paper+1949,,W.57_united_states_relations_with_china_with_special_reference_to_the_period_1944_194.{original_extension},World History/Cold War (1945-1991)/W.57,"United States Relations with China, With Special Reference to the Period 1944-1949 (the ""China White Paper"")",U.S. Department of State,1949,Public domain (U.S. federal government work),"U.S. Department of State, United States Relations with China, With Special Reference to the Period 1944-1949 (Washington, D.C.: Government Printing Office, 1949).","Office of the Historian, U.S. Department of State (history.state.gov)",search,PENDING
World History,Cold War (1945-1991),W.58,Speech (text),https://avalon.law.yale.edu/20th_century/trudoc.asp,,W.58_the_truman_doctrine_1947.{original_extension},World History/Cold War (1945-1991)/W.58,The Truman Doctrine (1947),Harry S. Truman,1947,Public domain — U.S. government work (1947),"Harry S. Truman, Truman Doctrine speech, 1947. The Avalon Project, Yale Law School.","Avalon Project, Yale Law School",canonical,PENDING
