Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Nationalism and Imperialism (1850-1914),W.23,"Describe the importance of India to the British Empire, the Suez Canal as a connection between Great Britain and India, and India's reaction to British rule.",Yes,The Indian Rebellion (Sepoy Mutiny) of 1857,Engraving,contemporary British press,1857-1858,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Indian+Rebellion+1857+Sepoy+Mutiny,search,Scenes of the Indian Rebellion of 1857. Library of Congress.,Engraving of the 1857 Indian Rebellion against British rule.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.24,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,Yes,Destruction of opium / First Opium War,Engraving,19th-c. sources,1839-1842,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Opium+War+China+1842,search,"The First Opium War, c.1842. NYPL Digital Collections.",Engraving of British warships attacking Chinese forces in the Opium War.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.24,Explain the growing influence of western powers on China from the Opium Wars through the Boxer Rebellion.,Yes,"Boxer Rebellion, 1900",Photograph,contemporary photographers,1900-1901,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Boxer+Rebellion+1900+China,search,"Boxer Rebellion, 1900. Library of Congress.",Photographs of foreign troops and the Boxer Rebellion in China.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.25,"Explain cultural diffusion, and describe the diffusion of cultures between Europe, Africa, and Asia as a result of European imperialism.",Yes,"Colonial exposition / ""human zoo"" imagery",Print/photograph,late 19th-c. sources,c. 1889-1900,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=colonial+exposition+1889,search,"Colonial exposition imagery, late 19th c. NYPL Digital Collections.",Print of a European colonial exposition displaying colonized peoples and goods.,NO,SSP.01; SSP.02,Broad standard; use imperial-era exchange imagery. Verify specific item.,OK
Nationalism and Imperialism (1850-1914),W.25,"Explain cultural diffusion, and describe the diffusion of cultures between Europe, Africa, and Asia as a result of European imperialism.",Yes,Railways and infrastructure in colonial India/Africa,Photograph,late 19th-c. photographers,c. 1870-1910,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=colonial+railway+India+Africa,search,Colonial-era railway infrastructure. Library of Congress.,Photograph of a railway built under European colonial rule.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.26,"Analyze Japan's abandonment of isolationism, its embrace of technological and political changes, and its consequent rise as an imperial power in the late 19th century.",Yes,"Perry's ""Black Ships"" in Japan",Woodblock print (ukiyo-e),Japanese artists,c. 1853-1854,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Black+Ships+Perry+Japan+woodblock,search,"Japanese woodblock print of Perry's Black Ships, c.1854. The Metropolitan Museum of Art (Open Access).",Ukiyo-e print of American steam warships arriving in Japan.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.26,"Analyze Japan's abandonment of isolationism, its embrace of technological and political changes, and its consequent rise as an imperial power in the late 19th century.",Yes,First Sino-Japanese War / Meiji modernization prints,Woodblock print (ukiyo-e),Japanese artists,1894-1895,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Sino-Japanese+War+woodblock+Meiji,search,Meiji-era woodblock prints of the Sino-Japanese War. The Metropolitan Museum of Art (Open Access).,Woodblock print depicting Japan's modernized military.,NO,SSP.01; SSP.02; SSP.05,,OK
Nationalism and Imperialism (1850-1914),W.27,"Describe the natural resources and geographic features of Central and South America, their role in attracting American and European economic interests, and their impact on global trade.",Yes,Map of South America (19th century),Map,19th-c. cartographers,19th c.,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=South+America+map+19th+century,search,"Map of South America, 19th century. Library of Congress, Geography & Map Division.",Historical map of Central and South America.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.27,"Describe the natural resources and geographic features of Central and South America, their role in attracting American and European economic interests, and their impact on global trade.",Yes,Guano / silver / rubber extraction in Latin America,Print/photograph,19th-c. sources,19th c.,The New York Public Library Digital Collections,Public domain (published pre-1929),Yes,https://digitalcollections.nypl.org/search/index?keywords=Peru+guano+silver+mining+South+America,search,Resource extraction in 19th-century Latin America. NYPL Digital Collections.,Illustration of mining or guano/rubber extraction in Latin America.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.28,Compare and contrast the impact of economic imperialism on Central and South America with the impact of imperialism on other parts of the world.,Yes,Construction of the Panama Canal,Photograph,U.S. Isthmian Canal Commission,1904-1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Panama+Canal+construction+1913,search,"Construction of the Panama Canal, c.1904-1914. Library of Congress.",Photograph of steam shovels excavating the Panama Canal.,NO,SSP.01; SSP.02; SSP.06,,OK
Nationalism and Imperialism (1850-1914),W.28,Compare and contrast the impact of economic imperialism on Central and South America with the impact of imperialism on other parts of the world.,Yes,"U.S. ""Big Stick"" intervention in Latin America",Political cartoon,early 20th-c. cartoonists,c. 1900-1910,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Big+Stick+Roosevelt+Latin+America+cartoon,search,"""Big Stick"" diplomacy cartoon, early 20th c. Library of Congress.",Cartoon of the U.S. asserting economic/military power in Latin America.,NO,SSP.01; SSP.02,,OK
World War I through the Depression (1910s-1930s),W.29,Explain how tensions between nations and states contributed to regional conflicts of the era.,Yes,"Map of the Balkans, ""powder keg of Europe"" (c.1912)",Map,early 20th-c. cartographers,c. 1912-1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Balkans+map+1912+Europe,search,"Map of the Balkans, c.1912. Library of Congress, Geography & Map Division.",Map of the fractured Balkan states before World War I.,NO,SSP.01; SSP.02; SSP.06,,OK
World War I through the Depression (1910s-1930s),W.29,Explain how tensions between nations and states contributed to regional conflicts of the era.,Yes,European alliances / armed-camp political cartoon,Political cartoon,early 20th-c. cartoonists,c. 1900-1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=European+alliances+cartoon+1914,search,"European alliance system cartoon, early 20th c. Library of Congress.",Cartoon depicting Europe's tangled alliances and militarism.,NO,SSP.01; SSP.02,,OK
World War I through the Depression (1910s-1930s),W.30,"Explain how the rise of militarism, alliances, imperialistic rivalries, and growing nationalism led to the outbreak of World War I.",Yes,"Assassination of Archduke Franz Ferdinand, Sarajevo, 1914",Print/photograph,contemporary press,1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Franz+Ferdinand+assassination+Sarajevo+1914,search,"Assassination of Archduke Franz Ferdinand, 1914. Library of Congress.",Illustration/photograph of the Sarajevo assassination that sparked WWI.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.30,"Explain how the rise of militarism, alliances, imperialistic rivalries, and growing nationalism led to the outbreak of World War I.",Yes,World War I mobilization / alliance cartoon,Political cartoon,1914-era cartoonists,1914,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=World+War+I+alliances+militarism+cartoon+1914,search,"World War I alliance/militarism cartoon, 1914. Library of Congress.",Cartoon showing the alliance chain dragging Europe into war.,NO,SSP.01; SSP.02,,OK
World War I through the Depression (1910s-1930s),W.31,"Describe how trench warfare, the resulting stalemate, war of attrition, and advances in weaponry (e.g., chemical weapons, machine guns, submarines, tanks) affected the course and outcome of World War I.",Yes,World War I trench warfare photographs,Photograph,U.S. Army Signal Corps / official photographers,1914-1918,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=World+War+I+trench+warfare,search,World War I trench photographs. U.S. National Archives.,Soldiers in a muddy World War I trench.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.31,"Describe how trench warfare, the resulting stalemate, war of attrition, and advances in weaponry (e.g., chemical weapons, machine guns, submarines, tanks) affected the course and outcome of World War I.",Yes,"New weapons of WWI: tanks, gas masks, machine guns",Photograph,official war photographers,1916-1918,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=World+War+I+tank+poison+gas+machine+gun,search,New weaponry of World War I. Library of Congress.,Photograph of a WWI tank and troops in gas masks.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.32,"Analyze the importance of geographic factors in military decision-making, and determine the principal theaters and significance of major battles in World War I (e.g., Battles of the Marne, Verdun, the Somme).",Yes,"Map of the Western Front (Marne, Verdun, Somme)",Map,military cartographers,1914-1918,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Western+Front+map+World+War+I+Verdun+Somme,search,"Map of the Western Front. Library of Congress, Geography & Map Division.",Battle map of the WWI Western Front trench lines.,NO,SSP.01; SSP.02; SSP.06,,OK
World War I through the Depression (1910s-1930s),W.32,"Analyze the importance of geographic factors in military decision-making, and determine the principal theaters and significance of major battles in World War I (e.g., Battles of the Marne, Verdun, the Somme).",Yes,Battle of the Somme / Verdun photographs,Photograph,official war photographers,1916,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Battle+of+the+Somme+Verdun+1916,search,"Battle of the Somme photographs, 1916. U.S. National Archives.",Photograph of the devastated battlefield of the Somme.,NO,SSP.01; SSP.02; SSP.06,,OK
World War I through the Depression (1910s-1930s),W.33,Explain how the entrance of the United States and the exit of Russia affected the course and outcome of World War I.,Yes,"World War I recruitment poster (""I Want YOU"")",Poster,James Montgomery Flagg / Committee on Public Information,1917,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=World+War+I+recruitment+poster+Uncle+Sam,search,"World War I U.S. recruitment poster, 1917. Library of Congress.","""I Want YOU"" Uncle Sam recruitment poster.",NO,SSP.01; SSP.02,,OK
World War I through the Depression (1910s-1930s),W.33,Explain how the entrance of the United States and the exit of Russia affected the course and outcome of World War I.,Yes,Treaty of Brest-Litovsk (1918),Treaty (text),Soviet Russia and the Central Powers,1918,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/subject_menus/blmenu.asp,search,"Treaty of Brest-Litovsk, 1918. The Avalon Project, Yale Law School.",Text of the treaty by which Russia exited World War I.,NO,SSP.01; SSP.02; SSP.04,Marked search: confirm exact Avalon path for Brest-Litovsk menu.,OK
World War I through the Depression (1910s-1930s),W.34,"Define total war, and describe its effect on European civilian populations, including: Food shortages; Industrial production of war materials; Naval/submarine blockades; Women as war workers",Yes,"Women munitions workers, World War I",Photograph,official war photographers,1915-1918,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=World+War+I+women+munitions+workers,search,"Women munitions workers, World War I. U.S. National Archives.",Women assembling shells in a WWI munitions factory.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.34,"Define total war, and describe its effect on European civilian populations, including: Food shortages; Industrial production of war materials; Naval/submarine blockades; Women as war workers",Yes,World War I food conservation / rationing poster,Poster,U.S. Food Administration,1917-1918,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=World+War+I+food+conservation+poster,search,World War I food conservation poster. Library of Congress.,Poster urging civilians to conserve food for the war effort.,NO,SSP.01; SSP.02,,OK
World War I through the Depression (1910s-1930s),W.35,"Describe the effects of World War I, including the significance of: Armenian Genocide; Collapse of major empires; Economic losses; Environmental changes; Loss of human life; Movement of populations; Spread of disease",Yes,Armenian Genocide / Near East Relief photographs,Photograph,American Committee for Relief in the Near East,1915-1919,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Armenian+refugees+Near+East+Relief+1915,search,"Armenian Genocide and Near East Relief photographs, 1915-1919. Library of Congress.",Photograph of Armenian refugees during the genocide.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.35,"Describe the effects of World War I, including the significance of: Armenian Genocide; Collapse of major empires; Economic losses; Environmental changes; Loss of human life; Movement of populations; Spread of disease",Yes,1918 influenza pandemic photographs,Photograph,U.S. government / Red Cross,1918-1919,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=1918+influenza+pandemic,search,1918 influenza pandemic photographs. U.S. National Archives.,Emergency hospital ward during the 1918 influenza pandemic.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.36,"Compare the goals of leading nations (i.e., U.S., France, Great Britain, Italy, and Japan) at the Paris Peace Conference with the outcomes of the Treaty of Versailles and its impact on Germany.",Yes,Treaty of Versailles (1919),Treaty (text),Allied and Associated Powers; Germany,1919,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/subject_menus/versailles_menu.asp,canonical,"Treaty of Versailles, 1919. The Avalon Project, Yale Law School.",Text of the Treaty of Versailles including the War Guilt clause.,NO,SSP.01; SSP.02; SSP.04,,OK
World War I through the Depression (1910s-1930s),W.36,"Compare the goals of leading nations (i.e., U.S., France, Great Britain, Italy, and Japan) at the Paris Peace Conference with the outcomes of the Treaty of Versailles and its impact on Germany.",Yes,"The ""Big Four"" at the Paris Peace Conference",Photograph,official photographers,1919,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Big+Four+Paris+Peace+Conference+1919,search,"The Big Four at the Paris Peace Conference, 1919. Library of Congress.","Photograph of Wilson, Lloyd George, Clemenceau, and Orlando.",NO,SSP.01; SSP.02; SSP.03,,OK
World War I through the Depression (1910s-1930s),W.36,"Compare the goals of leading nations (i.e., U.S., France, Great Britain, Italy, and Japan) at the Paris Peace Conference with the outcomes of the Treaty of Versailles and its impact on Germany.",Yes,President Wilson's Fourteen Points (1918),Speech (text),Woodrow Wilson,1918,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/wilson14.asp,canonical,"Woodrow Wilson, Fourteen Points, 1918. The Avalon Project, Yale Law School.",Text of Wilson's Fourteen Points peace program.,NO,SSP.01; SSP.02; SSP.04,Contrasts stated goals with Versailles outcome.,OK
World War I through the Depression (1910s-1930s),W.37,Analyze the shifts in geopolitical boundaries post-World War I resulting from the Treaty of Versailles and the League of Nations mandate system.,Yes,Map of Europe after World War I,Map,post-1919 cartographers,c. 1919-1923,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=map+Europe+after+World+War+I+1919,search,"Map of Europe after World War I. Library of Congress, Geography & Map Division.",Map showing redrawn national borders of post-WWI Europe.,NO,SSP.01; SSP.02; SSP.06,,OK
World War I through the Depression (1910s-1930s),W.37,Analyze the shifts in geopolitical boundaries post-World War I resulting from the Treaty of Versailles and the League of Nations mandate system.,Yes,Covenant of the League of Nations (1919),Treaty (text),Paris Peace Conference,1919,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/20th_century/leagcov.asp,canonical,"Covenant of the League of Nations, 1919. The Avalon Project, Yale Law School.",Text of the League of Nations Covenant establishing the mandate system.,NO,SSP.01; SSP.02; SSP.04,,OK
World War I through the Depression (1910s-1930s),W.38,Determine the causes and consequences of the Bolshevik Revolution and Russian Civil War.,Yes,Russian Revolution of 1917 photographs,Photograph,contemporary photographers,1917,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Russian+Revolution+1917+Petrograd,search,"Photographs of the Russian Revolution, 1917. Library of Congress.",Crowds and Red Guards during the 1917 Russian Revolution.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.38,Determine the causes and consequences of the Bolshevik Revolution and Russian Civil War.,Yes,Bolshevik / Russian Civil War propaganda poster,Poster,Soviet artists,1918-1921,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Bolshevik+Russian+Civil+War+poster+1919,search,"Russian Civil War propaganda poster, c.1919. Library of Congress.",Soviet Red Army propaganda poster from the Russian Civil War.,NO,SSP.01; SSP.02,Confirm PD status of the specific poster (most pre-1929 Soviet works are PD).,OK
World War I through the Depression (1910s-1930s),W.39,"Analyze the cultural, economic, and intellectual trends of the 1920s.",,Jazz Age / Harlem Renaissance photographs,Photograph,1920s photographers,1920s,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Harlem+Renaissance+jazz+1920s,search,"Harlem Renaissance and Jazz Age photographs, 1920s. Library of Congress.",Photograph of 1920s jazz musicians and Harlem cultural life.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.39,"Analyze the cultural, economic, and intellectual trends of the 1920s.",,1920s modern design and Art Deco,Design/print,1920s designers,1920s,The Metropolitan Museum of Art,Public domain — verify individual item at repository,Yes,https://www.metmuseum.org/search-results?q=Art+Deco+1920s+design,search,"Art Deco design, 1920s. The Metropolitan Museum of Art.",Example of 1920s Art Deco design.,NO,SSP.01; SSP.02; SSP.05,Verify open-access/PD status of the specific object.,OK
World War I through the Depression (1910s-1930s),W.40,"Describe the collapse of international economies in 1929 that led to the Great Depression, including the significance of: Overproduction; Unemployment; Inflation; Restrictive trade policies; Post-war economic relationships between the U.S. and Europe",Yes,"Crowds outside the New York Stock Exchange, 1929",Photograph,press photographers,1929,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Wall+Street+crash+1929+crowd+stock+exchange,search,Crowds on Wall Street during the 1929 crash. Library of Congress.,Anxious crowds gathered outside the NY Stock Exchange in 1929.,NO,SSP.01; SSP.02; SSP.05,,OK
World War I through the Depression (1910s-1930s),W.40,"Describe the collapse of international economies in 1929 that led to the Great Depression, including the significance of: Overproduction; Unemployment; Inflation; Restrictive trade policies; Post-war economic relationships between the U.S. and Europe",Yes,Great Depression breadlines / unemployment,Photograph,Farm Security Administration photographers,1930s,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=Great+Depression+breadline+unemployed,search,"Great Depression breadline photographs, 1930s (FSA). Library of Congress.",People waiting in a Depression-era breadline.,NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.41,"Explain how economic instability, nationalism, and political disillusionment in Germany and Japan led to the rise of totalitarian regimes.",Yes,"German hyperinflation, 1923",Photograph,contemporary photographers,1923,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=German+hyperinflation+1923+money,search,"German hyperinflation, 1923. Library of Congress.",Photograph of Weimar-era Germans using near-worthless banknotes.,NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.41,"Explain how economic instability, nationalism, and political disillusionment in Germany and Japan led to the rise of totalitarian regimes.",Yes,Rise of the Nazi Party / early rallies,Photograph,official/press photographers,1920s-1933,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Nazi+Party+rally+1920s+rise+Hitler,search,Rise of the Nazi Party. U.S. National Archives.,Photograph of an early Nazi Party rally in Germany.,NO,SSP.01; SSP.02; SSP.05,"Verify rights of individual images (many are captured German records, PD).",OK
Rise of Totalitarianism and World War II (1930s-1945),W.42,"Compare and contrast the rise to power, goals, and characteristics of Adolf Hitler, Benito Mussolini, and Joseph Stalin's totalitarian regimes.",Yes,"Totalitarian propaganda posters (Nazi, Fascist, Soviet)",Poster,state artists,1920s-1940s,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=propaganda+poster+Nazi+fascist+Soviet,search,Totalitarian propaganda posters. U.S. National Archives.,Propaganda posters glorifying totalitarian leaders.,NO,SSP.01; SSP.02; SSP.03,Compare three regimes; verify item rights (captured records often PD).,OK
Rise of Totalitarianism and World War II (1930s-1945),W.42,"Compare and contrast the rise to power, goals, and characteristics of Adolf Hitler, Benito Mussolini, and Joseph Stalin's totalitarian regimes.",Yes,"Photographs of Hitler, Mussolini, and Stalin",Photograph,official/press photographers,1930s-1940s,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Hitler+Mussolini+Stalin+dictators,search,"Photographs of Hitler, Mussolini, and Stalin. Library of Congress.",Portrait photographs of the three dictators.,NO,SSP.01; SSP.02; SSP.03,Verify individual item rights.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.43,Analyze the role of geographic features and natural resources in increasing tensions prior to and during World War II.,Yes,"Map of Axis expansion / ""living space"" in Europe",Map,1930s-40s cartographers,1930s-1940s,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Axis+expansion+map+Europe+World+War+II,search,Map of Axis expansion in Europe. U.S. National Archives.,Map showing German and Italian territorial expansion.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.43,Analyze the role of geographic features and natural resources in increasing tensions prior to and during World War II.,Yes,Greater East Asia Co-Prosperity Sphere map/poster,Map/poster,Japanese government,c. 1940-1942,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Greater+East+Asia+Co-Prosperity+Sphere+Japan,search,Greater East Asia Co-Prosperity Sphere. U.S. National Archives.,Japanese map/poster of the Greater East Asia Co-Prosperity Sphere.,NO,SSP.01; SSP.02; SSP.06,Verify rights (captured Japanese records generally PD).,OK
Rise of Totalitarianism and World War II (1930s-1945),W.44,"Compare the Italian, German, and Japanese efforts to expand their empires in the 1930s, including: the invasion of Ethiopia, German militarism, and atrocities in China.",Yes,"Italian invasion of Ethiopia, 1935-36",Photograph,press photographers,1935-1936,Library of Congress,Public domain (published pre-1929),Yes,https://www.loc.gov/search/?q=Italy+invasion+Ethiopia+1935+Abyssinia,search,"Italian invasion of Ethiopia, 1935. Library of Congress.",Photograph of Italian troops in the invasion of Ethiopia.,NO,SSP.01; SSP.02; SSP.05,Verify individual item (some press images may carry residual rights).,OK
Rise of Totalitarianism and World War II (1930s-1945),W.44,"Compare the Italian, German, and Japanese efforts to expand their empires in the 1930s, including: the invasion of Ethiopia, German militarism, and atrocities in China.",Yes,"Second Sino-Japanese War, 1937 (invasion of China)",Photograph,press/official photographers,1937-1938,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=Second+Sino-Japanese+War+1937+China,search,"Second Sino-Japanese War, 1937. U.S. National Archives.",Photograph of the Japanese invasion of China in 1937.,NO,SSP.01; SSP.02; SSP.05,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.45,"Explain the role of military alliances, appeasement, isolationism, and the domestic distractions in Europe and the U.S. prior to the outbreak of World War II.",Yes,Munich Agreement (1938),Agreement (text),"Germany, Britain, France, Italy",1938,"Avalon Project, Yale Law School",Public domain — verify individual item at repository,Yes,https://avalon.law.yale.edu/imt/munich1.asp,search,"Munich Agreement, 1938. The Avalon Project, Yale Law School.",Text of the 1938 Munich Agreement embodying appeasement.,NO,SSP.01; SSP.02; SSP.04,Marked search: confirm exact Avalon path.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.45,"Explain the role of military alliances, appeasement, isolationism, and the domestic distractions in Europe and the U.S. prior to the outbreak of World War II.",Yes,"American isolationism / ""America First"" (1930s)",Poster/cartoon/photograph,1930s sources,1935-1941,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=America+First+isolationism+1940+neutrality,search,"American isolationism, late 1930s. Library of Congress.","Isolationist ""America First"" imagery before U.S. entry into WWII.",NO,SSP.01; SSP.02,Verify individual item rights.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.46,"Describe how geography and technology (e.g., airplanes, advanced medicine, propaganda, radar) influenced wartime strategies, including: blitzkrieg, ""island hopping,"" kamikaze, and strategic bombing.",Yes,World War II aircraft and strategic bombing,Photograph,U.S. Army Air Forces,1939-1945,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=World+War+II+strategic+bombing+aircraft,search,World War II strategic bombing photographs. U.S. National Archives.,Formation of WWII bombers on a strategic bombing mission.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.46,"Describe how geography and technology (e.g., airplanes, advanced medicine, propaganda, radar) influenced wartime strategies, including: blitzkrieg, ""island hopping,"" kamikaze, and strategic bombing.",Yes,Pacific island-hopping campaign map,Map,U.S. military cartographers,1942-1945,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Pacific+island+hopping+campaign+map+World+War+II,search,Pacific theater island-hopping map. U.S. National Archives.,Map of the Pacific island-hopping campaign.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.47,"Describe the geography and outcomes of major battles and turning points of World War II in both the European and Pacific theaters, including: Battle of Britain; Battle of Midway; Battle of Stalingrad; Battle of Normandy; Battle of the Bulge",Yes,"D-Day landings at Normandy, 6 June 1944",Photograph,U.S. Coast Guard / Army Signal Corps,1944,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=D-Day+Normandy+landing+1944,search,"D-Day landings at Normandy, 1944. U.S. National Archives.",Troops wading ashore under fire on D-Day at Normandy.,NO,SSP.01; SSP.02; SSP.06,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.47,"Describe the geography and outcomes of major battles and turning points of World War II in both the European and Pacific theaters, including: Battle of Britain; Battle of Midway; Battle of Stalingrad; Battle of Normandy; Battle of the Bulge",Yes,Battle maps of the European and Pacific theaters,Map,U.S. Army Center of Military History,1941-1945,U.S. Army Center of Military History,Public domain (U.S. federal government work),Yes,https://history.army.mil/html/reference/army_flag/wwii.html,search,World War II campaign maps. U.S. Army Center of Military History.,"Battle maps showing Stalingrad, Midway, Normandy, and the Bulge.",NO,SSP.01; SSP.02; SSP.06,Marked search: use CMH campaign-map index; confirm map page.,OK
Rise of Totalitarianism and World War II (1930s-1945),W.48,"Describe the roles of leaders during World War II, including the significance of: Winston Churchill; Adolf Hitler; Benito Mussolini; President Franklin D. Roosevelt; Joseph Stalin; Hideki Tojo; President Harry S. Truman",,"The ""Big Three"" at the Yalta Conference, 1945",Photograph,U.S. Army Signal Corps,1945,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Yalta+Conference+Big+Three+1945+Churchill+Roosevelt+Stalin,search,"The Big Three at Yalta, 1945. U.S. National Archives.","Churchill, Roosevelt, and Stalin seated at the Yalta Conference.",NO,SSP.01; SSP.02; SSP.03,,OK
Rise of Totalitarianism and World War II (1930s-1945),W.48,"Describe the roles of leaders during World War II, including the significance of: Winston Churchill; Adolf Hitler; Benito Mussolini; President Franklin D. Roosevelt; Joseph Stalin; Hideki Tojo; President Harry S. Truman",,Portraits/photographs of WWII leaders,Photograph,official/press photographers,1939-1945,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=World+War+II+leaders+Churchill+Roosevelt+Truman+Tojo,search,World War II leaders. Library of Congress.,Portrait photographs of the major World War II leaders.,NO,SSP.01; SSP.02; SSP.03,Verify individual item rights.,OK
