Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
West Africa: 400-1500s CE,7.26,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.,Yes,Catalan Atlas panel depicting Mansa Musa,map,Abraham Cresques (workshop),1375,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Catalan+Atlas+Mansa+Musa+Mali,search,"Library of Congress, image of the Catalan Atlas showing Mansa Musa.",Medieval map panel showing Mansa Musa of Mali holding a gold nugget.,NO,SSP.01; SSP.02,The iconic European depiction of Mansa Musa's wealth after his hajj.,OK
West Africa: 400-1500s CE,7.26,Explain the importance of the Malian king Mansa Musa and his pilgrimage to Mecca in 1324.,Yes,Gold dinar / medieval West African gold coinage,coin,Unknown mint,c. 1300-1400,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=gold+dinar+medieval+islamic+coin,search,"The Metropolitan Museum of Art, medieval gold dinar.",Gold coin of the era when Mansa Musa's Mali dominated the gold supply.,NO,SSP.01; SSP.02,Alternate: gold economy tied to Mali's wealth and Mansa Musa's pilgrimage.,OK
Middle Ages in Western Europe: 400-1500s CE,7.27,"Identify and locate geographical features of Europe, including: • Alps • Atlantic Ocean • English Channel • Mediterranean Sea • Influence of the North Atlantic Drift • North European Plain • Ural Mountains",Yes,Historic map of Europe,map,Unknown cartographer,c. 1600-1800,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=map+europe+alps+mediterranean,search,"Library of Congress, historic map of Europe.","Antique map of Europe showing the Alps, English Channel, and Ural Mountains.",NO,SSP.06; SSP.01,Supports locating the required European physical features.,OK
Middle Ages in Western Europe: 400-1500s CE,7.27,"Identify and locate geographical features of Europe, including: • Alps • Atlantic Ocean • English Channel • Mediterranean Sea • Influence of the North Atlantic Drift • North European Plain • Ural Mountains",Yes,Map of Europe (physical/political),map,Unknown cartographer,c. 1650-1850,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=map+europe+alps+ural,search,"NYPL Digital Collections, historic map of Europe.","Old map of Europe with mountains, plains, and coastlines labeled.",NO,SSP.06; SSP.01,Alternate map for European geography.,OK
Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.,Yes,Medieval illuminated manuscript (monastic),manuscript,Unknown monastic scribe,c. 800-1200,The Metropolitan Museum of Art (The Cloisters),CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=illuminated+manuscript+medieval,search,"The Metropolitan Museum of Art, The Cloisters, illuminated manuscript.",Hand-copied medieval manuscript page with decorated initials and gold leaf.,NO,SSP.01; SSP.02,Monks copying manuscripts preserved knowledge during the Middle Ages.,OK
Middle Ages in Western Europe: 400-1500s CE,7.28,Describe the role of monasteries in the preservation of knowledge and spread of the Catholic Church beyond the Alps.,Yes,Medieval monastery / abbey view (print),print,Unknown,c. 1500-1700,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=medieval+monastery+abbey,search,"Library of Congress, view of a medieval monastery.","Engraving of a European abbey with church, cloister, and scriptorium.",NO,SSP.01; SSP.02,Alternate: monasteries spread the Church and learning beyond the Alps.,OK
Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire.",Yes,Carolingian ivory / manuscript from Charlemagne's era,sculpture,Unknown (Carolingian workshop),c. 800-900,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Carolingian+ivory+Charlemagne,search,"The Metropolitan Museum of Art, Carolingian ivory plaque.",Carved ivory panel from the Carolingian court of Charlemagne.,NO,SSP.01; SSP.02,Carolingian art reflects Charlemagne's Christian empire and revival.,OK
Middle Ages in Western Europe: 400-1500s CE,7.29,"Explain how Charlemagne shaped and defined medieval Europe, including: his impact on feudalism, the creation of the Holy Roman Empire, and the establishment of Christianity as the religion of the Empire.",Yes,Coin / denier of Charlemagne,coin,Carolingian mint,c. 768-814,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Charlemagne+coin+denier+Carolingian,search,"The Metropolitan Museum of Art, Carolingian coin.","Silver coin bearing the name of Charlemagne, ruler of the Holy Roman Empire.",NO,SSP.01; SSP.02,Alternate: coinage of Charlemagne's unified Christian empire.,OK
Middle Ages in Western Europe: 400-1500s CE,7.30,"Describe the development of feudalism and manorialism, their role in the medieval European economy, and the way in which they were influenced by physical geography (i.e., the role of the manor and the growth of towns).",Yes,Book of Hours calendar page (labors of the months),manuscript,Unknown illuminator,c. 1400-1500,The Metropolitan Museum of Art (The Cloisters),CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Book+of+Hours+labors+months+calendar,search,"The Metropolitan Museum of Art, Book of Hours calendar illumination.",Manuscript painting of peasants plowing and harvesting on a manor.,NO,SSP.01; SSP.02,Peasant labor scenes illustrate manorialism and the feudal economy.,OK
Middle Ages in Western Europe: 400-1500s CE,7.30,"Describe the development of feudalism and manorialism, their role in the medieval European economy, and the way in which they were influenced by physical geography (i.e., the role of the manor and the growth of towns).",Yes,Medieval manor / village scene (print),print,Unknown,c. 1500-1600,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=medieval+manor+feudal+village,search,"NYPL Digital Collections, medieval manorial scene.","Engraving of a medieval manor with lord's hall, fields, and peasant houses.",NO,SSP.01; SSP.02,Alternate: the manor as the center of feudal rural life.,OK
Middle Ages in Western Europe: 400-1500s CE,7.31,Analyze the Battle of Hastings and the long-term historical impact of William the Conqueror on England and Northern France.,Yes,Bayeux Tapestry scene (facsimile/engraving),print,After the Bayeux Tapestry,original c. 1070s; reproduction c. 1730-1900,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Bayeux+Tapestry+Battle+of+Hastings,search,"Library of Congress, reproduction of the Bayeux Tapestry.","Embroidered scene of Norman knights at the Battle of Hastings, 1066.",NO,SSP.01; SSP.02,The Bayeux Tapestry depicts William the Conqueror's invasion of England.,OK
Middle Ages in Western Europe: 400-1500s CE,7.31,Analyze the Battle of Hastings and the long-term historical impact of William the Conqueror on England and Northern France.,Yes,Norman arms and armor (11th-12th century),arms and armor,Unknown,c. 1050-1150,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Norman+medieval+sword+armor,search,"The Metropolitan Museum of Art, medieval European arms and armor.",Medieval sword and mail-armor of the type used by Norman knights.,NO,SSP.01; SSP.02,Alternate: military technology of the Norman conquest.,OK
Middle Ages in Western Europe: 400-1500s CE,7.32,Describe how political relationships both fostered cooperation and led to conflict between the Papacy and European monarchs.,Yes,Illuminated manuscript of pope and emperor,manuscript,Unknown,c. 1200-1400,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=medieval+pope+emperor+manuscript,search,"The Metropolitan Museum of Art, medieval manuscript of Church and crown.",Manuscript image of a pope and a king representing Church-state relations.,NO,SSP.01; SSP.02,Illustrates cooperation and conflict between papacy and monarchs.,OK
Middle Ages in Western Europe: 400-1500s CE,7.32,Describe how political relationships both fostered cooperation and led to conflict between the Papacy and European monarchs.,Yes,Papal bull / seal (medieval document),manuscript,Papal chancery,c. 1100-1400,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=papal+bull+medieval+seal,search,"Library of Congress, medieval papal document.",Parchment papal document with a lead seal (bulla) attached.,NO,SSP.01; SSP.02,Alternate: papal authority exercised over European rulers.,OK
Middle Ages in Western Europe: 400-1500s CE,7.33,"Analyze the impact of the Magna Carta, including: limiting the power of the monarch, the rule of law, and the right to trial by jury.",Yes,Magna Carta (1215) manuscript,manuscript,King John of England (issued),1215 (later copies),Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Magna+Carta,search,"Library of Congress, Magna Carta.",Parchment of the Magna Carta in dense medieval Latin script.,NO,SSP.01; SSP.02,Founding document limiting the monarch and establishing rule of law.,OK
Middle Ages in Western Europe: 400-1500s CE,7.33,"Analyze the impact of the Magna Carta, including: limiting the power of the monarch, the rule of law, and the right to trial by jury.",Yes,Seal of King John of England,artifact,English royal chancery,c. 1199-1216,New York Public Library Digital Collections,Public Domain,Yes,https://digitalcollections.nypl.org/search/index?keywords=King+John+Magna+Carta+seal,search,"NYPL Digital Collections, image relating to King John and Magna Carta.","Royal seal or portrait of King John, who sealed the Magna Carta.",NO,SSP.01; SSP.02,Alternate: the monarch whose power the Magna Carta constrained.,OK
Middle Ages in Western Europe: 400-1500s CE,7.34,"Analyze the causes, effects, and key people of the 1st, 2nd, and 3rd Crusades, including: Pope Urban II, Saladin, and Richard I.",Yes,Illuminated manuscript of the Crusades,manuscript,Unknown,c. 1250-1400,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Crusades+medieval+manuscript+knights,search,"The Metropolitan Museum of Art, Crusades-era manuscript.",Manuscript image of crusader knights in battle in the Holy Land.,NO,SSP.01; SSP.02,"Depicts the Crusades of Urban II, Saladin, and Richard I.",OK
Middle Ages in Western Europe: 400-1500s CE,7.34,"Analyze the causes, effects, and key people of the 1st, 2nd, and 3rd Crusades, including: Pope Urban II, Saladin, and Richard I.",Yes,Crusader sword / arms and armor,arms and armor,Unknown,c. 1100-1250,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=crusader+sword+medieval+arms,search,"The Metropolitan Museum of Art, medieval crusader-era arms.",Cross-hilted medieval sword of the Crusading era.,NO,SSP.01; SSP.02,Alternate: weaponry of the Crusades.,OK
Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe.",Yes,Manuscript showing Christian-Muslim contact,manuscript,Unknown,c. 1250-1400,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Crusades+Muslim+Christian+encounter+manuscript,search,"The Metropolitan Museum of Art, manuscript of cross-cultural contact.",Medieval image showing encounter between Christian and Muslim figures.,NO,SSP.01; SSP.02,Shows increased contact between cultures during the Crusades.,OK
Middle Ages in Western Europe: 400-1500s CE,7.35,"Explain how the Crusades impacted Christian, Muslim, and Jewish populations in Europe, with emphasis on the increasing contact with cultures outside Europe.",Yes,Islamic luxury object brought to Europe via the Crusades,artifact,Unknown,c. 1200-1400,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Islamic+glass+metalwork+crusader,search,"The Metropolitan Museum of Art, Islamic luxury object.",Enameled Islamic glass or inlaid metalwork traded into Europe.,NO,SSP.01; SSP.02,Alternate: cultural exchange resulting from the Crusades.,OK
Middle Ages in Western Europe: 400-1500s CE,7.36,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",Yes,Danse Macabre (Dance of Death) woodcuts,print,Hans Holbein the Younger,c. 1526-1538,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Holbein+Dance+of+Death+Danse+Macabre,search,"The Metropolitan Museum of Art, Holbein's Dance of Death.","Woodcut of a skeleton leading people away, symbolizing plague death.",NO,SSP.01; SSP.02,Danse Macabre imagery expresses the death culture of the Black Death.,OK
Middle Ages in Western Europe: 400-1500s CE,7.36,"Describe the economic and social effects of the spread of the Black Death (i.e., Bubonic Plague) from Central Asia to China, the Middle East, and Europe, and its impact on the global population.",Yes,Manuscript depicting the plague / burial of victims,manuscript,Unknown,c. 1350-1450,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Black+Death+plague+medieval+illustration,search,"Library of Congress, medieval depiction of the Black Death.",Medieval illustration of townspeople burying plague victims.,NO,SSP.01; SSP.02,Alternate: direct depiction of the plague's social devastation.,OK
Middle Ages in Western Europe: 400-1500s CE,7.37,"Analyze the importance of the Black Death on the emergence of a modern economy, including: • Agricultural improvements • A merchant class • Commerce • Technological improvements • Growth of banking • Towns",,Merchant / banking scene manuscript or painting,painting,Unknown,c. 1400-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=medieval+merchant+banker+moneychanger,search,"The Metropolitan Museum of Art, image of merchants/money changers.",Painting of a money changer or merchant weighing coins.,NO,SSP.01; SSP.02,Rise of a merchant and banking class in the post-plague economy.,OK
Middle Ages in Western Europe: 400-1500s CE,7.37,"Analyze the importance of the Black Death on the emergence of a modern economy, including: • Agricultural improvements • A merchant class • Commerce • Technological improvements • Growth of banking • Towns",,Late medieval European gold coin / florin,coin,Unknown mint,c. 1350-1500,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=florin+medieval+gold+coin+Italy,search,"The Metropolitan Museum of Art, medieval European gold coin.",Gold florin coin used in expanding late-medieval commerce and banking.,NO,SSP.01; SSP.02,Alternate: coinage of the growing commercial and banking economy.,OK
Middle Ages in Western Europe: 400-1500s CE,7.38,"Describe the significance of the Hundred Years War, including the roles of Henry V in shaping English culture and language and Joan of Arc in promoting a peaceful end to the war.",Yes,Late-medieval plate armor (Hundred Years War era),arms and armor,Unknown armorer,c. 1400-1450,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=plate+armor+15th+century+knight,search,"The Metropolitan Museum of Art, 15th-century European armor.",Full steel plate armor of the Hundred Years War period.,NO,SSP.01; SSP.02,Armor of the Hundred Years War era of Henry V and Joan of Arc.,OK
Middle Ages in Western Europe: 400-1500s CE,7.38,"Describe the significance of the Hundred Years War, including the roles of Henry V in shaping English culture and language and Joan of Arc in promoting a peaceful end to the war.",Yes,Image of Joan of Arc,print,Unknown,c. 1450-1600,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Joan+of+Arc,search,"Library of Congress, depiction of Joan of Arc.",Engraving of Joan of Arc in armor carrying a banner.,NO,SSP.01; SSP.02,Alternate: Joan of Arc's role in the Hundred Years War.,OK
Middle Ages in Western Europe: 400-1500s CE,7.39,"Explain the significance of the Reconquista, Inquisition, and the rise of Spanish and Portuguese kingdoms in the Iberian Peninsula.",Yes,"The Alhambra, Granada (photograph/print)",photograph,Various,c. 1860-1920,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Alhambra+Granada+Spain,search,"Library of Congress, view of the Alhambra, Granada.","Moorish palace of the Alhambra, last Muslim stronghold before the Reconquista.",NO,SSP.01; SSP.02,Granada's fall in 1492 completed the Reconquista.,OK
Middle Ages in Western Europe: 400-1500s CE,7.39,"Explain the significance of the Reconquista, Inquisition, and the rise of Spanish and Portuguese kingdoms in the Iberian Peninsula.",Yes,Portraits / heraldry of Ferdinand and Isabella,print,Unknown,c. 1490-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Ferdinand+Isabella+Spain+Catholic+monarchs,search,"The Metropolitan Museum of Art, image of the Catholic Monarchs of Spain.",Portrait or emblem of Ferdinand and Isabella of Spain.,NO,SSP.01; SSP.02,Alternate: the monarchs of the Reconquista and Inquisition.,OK
Early Modern Europe: 1400-1700s CE,7.40,"Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy's independent trade cities.",Yes,Historic map / view of Venice and the Italian Peninsula,map,Unknown cartographer,c. 1500-1700,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=map+italy+venice+italian+peninsula,search,"Library of Congress, historic map/view of Italy.",Old map showing Italy's peninsula and Mediterranean trade cities.,NO,SSP.06; SSP.02,Italy's central Mediterranean location made its cities trade hubs.,OK
Early Modern Europe: 1400-1700s CE,7.40,"Explain how the location of the Italian Peninsula impacted the movement of resources, knowledge, and culture throughout Italy's independent trade cities.",Yes,Venetian trade object (glass or textile),artifact,Unknown (Venice),c. 1400-1550,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Venetian+glass+Renaissance+trade,search,"The Metropolitan Museum of Art, Venetian trade good.",Fine Venetian glass vessel produced for Mediterranean trade.,NO,SSP.01; SSP.02,Alternate: goods that flowed through Italy's independent trade cities.,OK
Early Modern Europe: 1400-1700s CE,7.41,"Identify the importance of Florence, Italy and the Medici Family in the early stages of the Renaissance.",Yes,Portrait of a Medici family member,painting,Florentine school,c. 1450-1550,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Medici+portrait+Florence+Renaissance,search,"The Metropolitan Museum of Art, Medici-era Florentine portrait.",Renaissance portrait of a member of Florence's Medici family.,NO,SSP.01; SSP.02,The Medici bankrolled the early Renaissance in Florence.,OK
Early Modern Europe: 1400-1700s CE,7.41,"Identify the importance of Florence, Italy and the Medici Family in the early stages of the Renaissance.",Yes,View of Florence (Nuremberg Chronicle / early print),print,Hartmann Schedel (Nuremberg Chronicle),1493,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Florence+view+Nuremberg+Chronicle,search,"Library of Congress, early printed view of Florence.",Woodcut cityscape of Renaissance Florence with its cathedral dome.,NO,SSP.01; SSP.02,Alternate: Florence as the birthplace of the Renaissance.,OK
Early Modern Europe: 1400-1700s CE,7.42,"Explain humanism, and describe how Thomas Aquinas's writings influenced humanistic thought and fostered a balance between reason and faith.",,Manuscript of Thomas Aquinas's Summa Theologica,manuscript,Thomas Aquinas,c. 1265-1274 (later copies/printings),HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Thomas+Aquinas+Summa+Theologica&type=all,search,"HathiTrust, Summa Theologica of Thomas Aquinas.",Page of Aquinas's Summa Theologica reconciling faith and reason.,NO,SSP.01; SSP.02,"Aquinas's work balanced reason and faith, shaping humanistic thought.",OK
Early Modern Europe: 1400-1700s CE,7.42,"Explain humanism, and describe how Thomas Aquinas's writings influenced humanistic thought and fostered a balance between reason and faith.",,Printed Renaissance humanist text,printed book,Various humanists,c. 1470-1550,HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Renaissance+humanism+Petrarch+Erasmus&type=all,search,"HathiTrust, Renaissance humanist printed work.",Title page of an early printed Renaissance humanist book.,NO,SSP.01; SSP.02,Alternate: humanist scholarship emphasizing classical learning.,OK
Early Modern Europe: 1400-1700s CE,7.43,"Explain the development of Renaissance art, including the significance of: • Leonardo da Vinci • Michelangelo • William Shakespeare • Systems of patronage",Yes,Michelangelo drawing (Studies for the Libyan Sibyl),drawing,Michelangelo Buonarroti,c. 1510-1511,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Michelangelo+Studies+Libyan+Sibyl,search,"The Metropolitan Museum of Art, Michelangelo, Studies for the Libyan Sibyl.",Red-chalk anatomical study drawing by Michelangelo.,NO,SSP.01; SSP.02,An authentic Renaissance masterwork by Michelangelo.,OK
Early Modern Europe: 1400-1700s CE,7.43,"Explain the development of Renaissance art, including the significance of: • Leonardo da Vinci • Michelangelo • William Shakespeare • Systems of patronage",Yes,"Shakespeare, First Folio (1623)",printed book,William Shakespeare,1623,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Shakespeare+First+Folio+1623,search,"Library of Congress, Shakespeare's First Folio.",Title page of the 1623 First Folio of Shakespeare's plays.,NO,SSP.01; SSP.02,Alternate: Shakespeare's literary achievement of the Renaissance.,OK
Early Modern Europe: 1400-1700s CE,7.44,"Analyze Johannes Gutenberg's printing press and William Tyndale's translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge.",Yes,Gutenberg Bible (c. 1455),printed book,Johannes Gutenberg,c. 1455,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Gutenberg+Bible,search,"Library of Congress, Gutenberg Bible.","Page of the Gutenberg Bible, the first major printed book in Europe.",NO,SSP.01; SSP.02,The printing press revolutionized the spread of knowledge; LOC holds a copy.,OK
Early Modern Europe: 1400-1700s CE,7.44,"Analyze Johannes Gutenberg's printing press and William Tyndale's translation of the Bible into the English language as vehicles for the spread of books, growth of literacy, and dissemination of knowledge.",Yes,Tyndale New Testament (English translation),printed book,William Tyndale,c. 1525-1536,HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Tyndale+New+Testament+English&type=all,search,"HathiTrust, Tyndale's English New Testament.",Page of William Tyndale's early printed English Bible translation.,NO,SSP.01; SSP.02,Alternate: Tyndale's English Bible spread literacy and reform ideas.,OK
Early Modern Europe: 1400-1700s CE,7.45,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church's taxation policies, the selling of indulgences, and Martin Luther's 95 Theses.",,Portrait of Martin Luther,painting,Lucas Cranach the Elder,c. 1528-1546,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Cranach+Martin+Luther+portrait,search,"The Metropolitan Museum of Art, Cranach portrait of Martin Luther.",Painted portrait of the reformer Martin Luther in dark robes.,NO,SSP.01; SSP.02,Luther launched the Reformation with his 95 Theses.,OK
Early Modern Europe: 1400-1700s CE,7.45,"Explain the significant causes of the Protestant Reformation, including: the Catholic Church's taxation policies, the selling of indulgences, and Martin Luther's 95 Theses.",,Luther's Ninety-Five Theses (printed),printed book,Martin Luther,1517 (later printings),HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Luther+Ninety-Five+Theses+indulgences&type=all,search,"HathiTrust, Martin Luther's Ninety-Five Theses.",Printed text of Luther's 95 Theses against the sale of indulgences.,NO,SSP.01; SSP.02,Alternate: the founding document protesting indulgences and taxation.,OK
Early Modern Europe: 1400-1700s CE,7.46,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination.",,Luther Bible (German translation),printed book,Martin Luther,c. 1534,HathiTrust Digital Library,Public Domain,Yes,https://catalog.hathitrust.org/Search/Home?lookfor=Luther+Bible+German+1534&type=all,search,"HathiTrust, Luther's German Bible.",Page from Luther's German-language Bible emphasizing scripture alone.,NO,SSP.01; SSP.02,Illustrates 'scripture alone' as a core Reformation principle.,OK
Early Modern Europe: 1400-1700s CE,7.46,"Analyze the development of the Protestant Reformation and the split with the Catholic Church, including: the emphasis on scripture alone, salvation by faith, and predestination.",,Portrait of John Calvin,print,Unknown,c. 1550-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=John+Calvin+portrait+reformer,search,"The Metropolitan Museum of Art, portrait of John Calvin.",Engraved portrait of the reformer John Calvin.,NO,SSP.01; SSP.02,Alternate: Calvin's theology of predestination in the Reformation.,OK
Early Modern Europe: 1400-1700s CE,7.47,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.,Yes,Portrait of Henry VIII of England,painting,After Hans Holbein the Younger,c. 1537-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Henry+VIII+portrait+England,search,"The Metropolitan Museum of Art, portrait of Henry VIII.",Portrait of King Henry VIII in richly embroidered Tudor dress.,NO,SSP.01; SSP.02,"Henry VIII broke with Rome, shifting England toward Protestantism.",OK
Early Modern Europe: 1400-1700s CE,7.47,Explain the political and religious roles of Henry VIII and Mary I in England's transition between Catholicism and Protestantism.,Yes,Portrait / coinage of Mary I of England,print,Unknown,c. 1553-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Mary+I+Tudor+queen+England+portrait,search,"The Metropolitan Museum of Art, image of Mary I of England.","Portrait or coin of Queen Mary I, who restored Catholicism.",NO,SSP.01; SSP.02,Alternate: Mary I reversed England's move to Protestantism.,OK
Early Modern Europe: 1400-1700s CE,7.48,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent.",,Portrait of St. Ignatius of Loyola,print,Unknown,c. 1550-1650,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Ignatius+Loyola+Jesuit+portrait,search,"The Metropolitan Museum of Art, image of Ignatius of Loyola.","Engraved portrait of Ignatius of Loyola, founder of the Jesuits.",NO,SSP.01; SSP.02,Loyola and the Jesuits led the Catholic Counter-Reformation.,OK
Early Modern Europe: 1400-1700s CE,7.48,"Analyze how the Catholic Counter-Reformation emerged as a response to Protestantism and revitalized the Catholic Church, including the significance of: St. Ignatius of Loyola, the Jesuits, and the Council of Trent.",,Council of Trent (print / decrees),print,Unknown,c. 1545-1600,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Council+of+Trent,search,"Library of Congress, image/decrees of the Council of Trent.",Engraving of the assembled churchmen at the Council of Trent.,NO,SSP.01; SSP.02,Alternate: the Council of Trent reformed and revitalized the Catholic Church.,OK
Early Modern Europe: 1400-1700s CE,7.49,"Examine the Golden Age of the Tudor dynasty (i.e., Queen Elizabeth I), including the defeat of the Spanish Armada and the rise of English power in Europe.",,Portrait of Queen Elizabeth I,painting,English school,c. 1580-1600,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=Elizabeth+I+portrait+Tudor,search,"The Metropolitan Museum of Art, portrait of Elizabeth I.",Portrait of Queen Elizabeth I in an ornate ruff and jeweled gown.,NO,SSP.01; SSP.02,Elizabeth I presided over England's Tudor golden age.,OK
Early Modern Europe: 1400-1700s CE,7.49,"Examine the Golden Age of the Tudor dynasty (i.e., Queen Elizabeth I), including the defeat of the Spanish Armada and the rise of English power in Europe.",,The Spanish Armada (map / commemorative print or medal),print,Unknown,c. 1588-1620,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Spanish+Armada+1588,search,"Library of Congress, depiction of the Spanish Armada, 1588.",Engraving or chart of the 1588 English defeat of the Spanish Armada.,NO,SSP.01; SSP.02,Alternate: the Armada's defeat marked the rise of English power.,OK
Early Modern Europe: 1400-1700s CE,7.50,"Compare and contrast heliocentric and geocentric theories of the Greeks (geocentric), Copernicus (heliocentric), and Kepler (elliptical orbits).",Yes,"Copernicus, De revolutionibus orbium coelestium",printed book,Nicolaus Copernicus,1543,Library of Congress,Public Domain (no known restrictions),Yes,https://www.loc.gov/search/?q=Copernicus+De+revolutionibus,search,"Library of Congress, Copernicus's De revolutionibus.",Diagram of the heliocentric solar system from Copernicus's 1543 book.,NO,SSP.01; SSP.02,Copernicus's heliocentric model challenged the geocentric view.,OK
Early Modern Europe: 1400-1700s CE,7.50,"Compare and contrast heliocentric and geocentric theories of the Greeks (geocentric), Copernicus (heliocentric), and Kepler (elliptical orbits).",Yes,Armillary sphere / celestial model,scientific instrument,Unknown,c. 1550-1650,The Metropolitan Museum of Art,CC0 (Met Open Access),Yes,https://www.metmuseum.org/search-results?q=armillary+sphere+celestial+globe,search,"The Metropolitan Museum of Art, armillary sphere.",Brass armillary sphere modeling the motions of the heavens.,NO,SSP.01; SSP.02,Alternate: instrument illustrating geocentric vs. heliocentric debate; Kepler's orbits.,OK
